origin_position,origin_date,rows,accuracy,errors
120,2010-01-29,37,0.7567567567567568,9
121,2010-02-26,37,0.8378378378378378,6
122,2010-03-31,37,0.7027027027027027,11
123,2010-04-30,37,0.40540540540540543,22
124,2010-05-31,37,0.32432432432432434,25
125,2010-06-30,37,0.8648648648648649,5
126,2010-07-30,37,0.35135135135135137,24
127,2010-08-31,38,0.6052631578947368,15
128,2010-09-30,38,0.868421052631579,5
129,2010-10-29,38,0.3157894736842105,26
130,2010-11-30,39,0.7948717948717948,8
131,2010-12-31,39,0.5128205128205128,19
132,2011-01-31,39,0.8717948717948718,5
133,2011-02-28,39,0.6153846153846154,15
134,2011-03-31,39,0.8717948717948718,5
135,2011-04-29,39,0.28205128205128205,28
136,2011-05-31,39,0.23076923076923078,30
137,2011-06-30,39,0.5641025641025641,17
138,2011-07-29,39,0.2564102564102564,29
139,2011-08-31,39,0.05128205128205128,37
140,2011-09-30,39,0.1282051282051282,34
141,2011-10-31,39,0.358974358974359,25
142,2011-11-30,39,0.5384615384615384,18
143,2011-12-30,39,0.8205128205128205,7
144,2012-01-31,39,0.717948717948718,11
145,2012-02-29,39,0.48717948717948717,20
146,2012-03-30,40,0.65,14
147,2012-04-30,40,0.2,32
148,2012-05-31,40,0.35,26
149,2012-06-29,40,0.75,10
150,2012-07-31,40,0.6,16
151,2012-08-31,40,0.825,7
152,2012-09-28,40,0.375,25
153,2012-10-31,40,0.7,12
154,2012-11-30,40,0.625,15
155,2012-12-31,40,0.75,10
156,2013-01-31,40,0.525,19
157,2013-02-28,40,0.725,11
158,2013-03-29,40,0.675,13
159,2013-04-30,40,0.325,27
160,2013-05-31,40,0.45,22
161,2013-06-28,40,0.525,19
162,2013-07-31,40,0.25,30
163,2013-08-30,41,0.5853658536585366,17
164,2013-09-30,42,0.7380952380952381,11
165,2013-10-31,42,0.5238095238095238,20
166,2013-11-29,42,0.5952380952380952,17
167,2013-12-31,42,0.30952380952380953,29
168,2014-01-31,42,0.2857142857142857,30
169,2014-02-28,42,0.5476190476190477,19
170,2014-03-31,42,0.6666666666666666,14
171,2014-04-30,42,0.7380952380952381,11
172,2014-05-30,42,0.5238095238095238,20
173,2014-06-30,42,0.21428571428571427,33
174,2014-07-31,42,0.6666666666666666,14
175,2014-08-29,43,0.13953488372093023,37
176,2014-09-30,43,0.5348837209302325,20
177,2014-10-31,43,0.627906976744186,16
178,2014-11-28,43,0.46511627906976744,23
179,2014-12-31,43,0.4883720930232558,22
180,2015-01-30,43,0.5581395348837209,19
181,2015-02-27,43,0.5581395348837209,19
182,2015-03-31,43,0.4883720930232558,22
183,2015-04-30,43,0.627906976744186,16
184,2015-05-29,43,0.23255813953488372,33
185,2015-06-30,43,0.7441860465116279,11
186,2015-07-31,43,0.32558139534883723,29
187,2015-08-31,43,0.6511627906976745,15
188,2015-09-30,43,0.6046511627906976,17
189,2015-10-30,43,0.5813953488372093,18
190,2015-11-30,44,0.25,33
191,2015-12-31,44,0.45454545454545453,24
192,2016-01-29,44,0.36363636363636365,28
193,2016-02-29,44,0.4772727272727273,23
194,2016-03-31,44,0.29545454545454547,31
195,2016-04-29,44,0.4772727272727273,23
196,2016-05-31,44,0.4318181818181818,25
197,2016-06-30,44,0.5454545454545454,20
198,2016-07-29,44,0.38636363636363635,27
199,2016-08-31,44,0.5227272727272727,21
200,2016-09-30,44,0.18181818181818182,36
201,2016-10-31,44,0.38636363636363635,27
202,2016-11-30,44,0.5,22
203,2016-12-30,44,0.4318181818181818,25
204,2017-01-31,44,0.7954545454545454,9
205,2017-02-28,44,0.3409090909090909,29
206,2017-03-31,44,0.6136363636363636,17
207,2017-04-28,44,0.6363636363636364,16
208,2017-05-31,44,0.5,22
209,2017-06-30,44,0.8181818181818182,8
210,2017-07-31,44,0.5681818181818182,19
211,2017-08-31,44,0.6136363636363636,17
212,2017-09-29,44,0.5454545454545454,20
213,2017-10-31,44,0.7272727272727273,12
214,2017-11-30,44,0.7727272727272727,10
215,2017-12-29,44,0.7727272727272727,10
216,2018-01-31,44,0.06818181818181818,41
217,2018-02-28,44,0.4090909090909091,26
218,2018-03-30,44,0.5,22
219,2018-04-30,44,0.4772727272727273,23
220,2018-05-31,44,0.4772727272727273,23
221,2018-06-29,44,0.7272727272727273,12
222,2018-07-31,45,0.5777777777777777,19
223,2018-08-31,45,0.5333333333333333,21
224,2018-09-28,45,0.3333333333333333,30
225,2018-10-31,45,0.4666666666666667,24
226,2018-11-30,45,0.24444444444444444,34
227,2018-12-31,45,0.8888888888888888,5
228,2019-01-31,45,0.6222222222222222,17
229,2019-02-28,46,0.6739130434782609,15
230,2019-03-29,46,0.5869565217391305,19
231,2019-04-30,46,0.21739130434782608,36
232,2019-05-31,46,0.8260869565217391,8
233,2019-06-28,46,0.5217391304347826,22
234,2019-07-31,46,0.3695652173913043,29
235,2019-08-30,46,0.6739130434782609,15
236,2019-09-30,46,0.30434782608695654,32
237,2019-10-31,46,0.6739130434782609,15
238,2019-11-29,46,0.6086956521739131,18
239,2019-12-31,46,0.4782608695652174,24
240,2020-01-31,47,0.1702127659574468,39
241,2020-02-28,48,0.2708333333333333,35
242,2020-03-31,48,0.14583333333333334,41
243,2020-04-30,48,0.875,6
244,2020-05-29,48,0.625,18
245,2020-06-30,48,0.22916666666666666,37
246,2020-07-31,48,0.8333333333333334,8
247,2020-08-31,48,0.16666666666666666,40
248,2020-09-30,48,0.3541666666666667,31
249,2020-10-30,48,0.8541666666666666,7
250,2020-11-30,48,0.9583333333333334,2
251,2020-12-31,48,0.4375,27
252,2021-01-29,48,0.5625,21
253,2021-02-26,48,0.5833333333333334,20
254,2021-03-31,48,0.9375,3
255,2021-04-30,48,0.8125,9
256,2021-05-31,48,0.4583333333333333,26
257,2021-06-30,48,0.5833333333333334,20
258,2021-07-30,48,0.625,18
259,2021-08-31,48,0.14583333333333334,41
260,2021-09-30,48,0.8333333333333334,8
261,2021-10-29,48,0.2708333333333333,35
262,2021-11-30,48,0.8125,9
263,2021-12-31,48,0.1875,39
264,2022-01-31,48,0.375,30
265,2022-02-28,48,0.6458333333333334,17
266,2022-03-31,48,0.10416666666666667,43
267,2022-04-29,48,0.6041666666666666,19
