window,model,months,common_eligible_rows,calls,hits,accuracy,brier,log_loss,roc_auc,ece
tuning,chronos_raw,60,2383,2383,1401,0.5879143936214856,0.2455639376687273,0.6861281803782553,0.546566327813499,0.050648345782574974
tuning,chronos_calibrated,60,2383,2383,1361,0.5711288292068821,0.24676941910973477,0.6872988419269945,0.505347174826682,0.044123250824233
tuning,active,60,2383,2383,1399,0.5870751154007553,0.24353436823421093,0.6805349994096693,0.5702029526922662,0.04781246012699462
tuning,blend,60,2383,2383,1398,0.5866554762903903,0.2432664865666026,0.6798020981075626,0.5609353784259492,0.03827377287814215
validation,chronos_raw,40,1748,1748,907,0.5188787185354691,0.25682519147013017,0.7114166060489778,0.5181113187347163,0.07104823792159007
validation,chronos_calibrated,40,1748,1748,936,0.5354691075514875,0.2501720613202945,0.6940198690393236,0.5181113187347163,0.03139015546311942
validation,active,40,1748,1748,917,0.5245995423340961,0.2533767012231183,0.7002818287918156,0.5090197751607546,0.058877977112650685
validation,blend,40,1748,1748,913,0.5223112128146453,0.2518040849644251,0.6970058729131318,0.5108712685363327,0.04277594137301476
confirmation,chronos_raw,47,2196,2196,1202,0.5473588342440802,0.2488398956763979,0.6941787590695657,0.5199387634803038,0.048825176231928356
confirmation,chronos_calibrated,47,2196,2196,1259,0.5733151183970856,0.24468646546618886,0.6828981558221685,0.5199387634803038,0.014462101916161634
confirmation,active,47,2196,2196,1248,0.5683060109289617,0.2449153544723959,0.6830980398424727,0.5358500807864058,0.028235352217175373
confirmation,blend,47,2196,2196,1258,0.5728597449908925,0.24428507716799705,0.6817241464933067,0.5349018476974814,0.030646712580751367
overall_nonlocked,chronos_raw,147,6327,6327,3510,0.5547652916073968,0.2498121873019969,0.6959089989144558,0.5318191323909804,0.046574413350247715
overall_nonlocked,chronos_calibrated,147,6327,6327,3556,0.5620357199304568,0.2469865287008256,0.6876282948598463,0.5159334735628169,0.020293756802022663
overall_nonlocked,active,147,6327,6327,3564,0.5633001422475107,0.24673288946760183,0.6868801700356261,0.542518262995253,0.03719077144348615
overall_nonlocked,blend,147,6327,6327,3569,0.5640904061956693,0.24597875888524587,0.6852222050484869,0.5395836971043153,0.03265151923822383
