stress_threshold,role_indicators,role_count,tuning_hits,tuning_calls,tuning_accuracy,validation_hits,validation_calls,validation_accuracy,discovery_hits,discovery_calls,discovery_accuracy,changed_calls
0.45,"X44,X49",2,581,900,0.6455555555555555,353,600,0.5883333333333334,934,1500,0.6226666666666667,45
0.45,"X44,X42",2,581,900,0.6455555555555555,352,600,0.5866666666666667,933,1500,0.622,41
0.45,"X44,X42,X49",3,581,900,0.6455555555555555,351,600,0.585,932,1500,0.6213333333333333,62
0.45,X44,1,580,900,0.6444444444444445,350,600,0.5833333333333334,930,1500,0.62,24
0.4,"X44,X49",2,580,900,0.6444444444444445,349,600,0.5816666666666667,929,1500,0.6193333333333333,23
0.4,X44,1,580,900,0.6444444444444445,348,600,0.58,928,1500,0.6186666666666667,12
0.5,"X44,X42",2,579,900,0.6433333333333333,352,600,0.5866666666666667,931,1500,0.6206666666666667,61
0.5,X44,1,579,900,0.6433333333333333,350,600,0.5833333333333334,929,1500,0.6193333333333333,35
0.4,"X44,X42",2,579,900,0.6433333333333333,348,600,0.58,927,1500,0.618,19
0.35,X44,1,579,900,0.6433333333333333,347,600,0.5783333333333334,926,1500,0.6173333333333333,5
0.35,"X44,X42",2,579,900,0.6433333333333333,346,600,0.5766666666666667,925,1500,0.6166666666666667,9
0.35,"X44,X49",2,579,900,0.6433333333333333,346,600,0.5766666666666667,925,1500,0.6166666666666667,10
0.4,"X44,X42,X49",3,579,900,0.6433333333333333,346,600,0.5766666666666667,925,1500,0.6166666666666667,30
0.35,"X44,X42,X49",3,579,900,0.6433333333333333,345,600,0.575,924,1500,0.616,14
0.5,"X44,X42,X49",3,578,900,0.6422222222222222,347,600,0.5783333333333334,925,1500,0.6166666666666667,92
0.5,"X44,X49",2,577,900,0.6411111111111111,352,600,0.5866666666666667,929,1500,0.6193333333333333,66
