model,method,window,threshold,calls,coverage,accuracy
active,legacy_directional_score,all,0.5,1500,1.0,0.6173333333333333
active,legacy_directional_score,all,0.55,1482,0.988,0.6167341430499326
active,legacy_directional_score,all,0.6,1297,0.8646666666666667,0.6083269082498073
active,legacy_directional_score,all,0.65,766,0.5106666666666667,0.6331592689295039
active,legacy_directional_score,all,0.7,272,0.18133333333333335,0.6875
active,legacy_directional_score,all,0.75,73,0.048666666666666664,0.6438356164383562
active,legacy_directional_score,tuning_early,0.5,450,1.0,0.64
active,legacy_directional_score,tuning_early,0.55,450,1.0,0.64
active,legacy_directional_score,tuning_early,0.6,446,0.9911111111111112,0.6390134529147982
active,legacy_directional_score,tuning_early,0.65,377,0.8377777777777777,0.6392572944297082
active,legacy_directional_score,tuning_early,0.7,147,0.32666666666666666,0.7074829931972789
active,legacy_directional_score,tuning_early,0.75,43,0.09555555555555556,0.6744186046511628
active,legacy_directional_score,tuning_late,0.5,450,1.0,0.6466666666666666
active,legacy_directional_score,tuning_late,0.55,450,1.0,0.6466666666666666
active,legacy_directional_score,tuning_late,0.6,450,1.0,0.6466666666666666
active,legacy_directional_score,tuning_late,0.65,313,0.6955555555555556,0.6613418530351438
active,legacy_directional_score,tuning_late,0.7,120,0.26666666666666666,0.6583333333333333
active,legacy_directional_score,tuning_late,0.75,30,0.06666666666666667,0.6
active,legacy_directional_score,validation,0.5,600,1.0,0.5783333333333334
active,legacy_directional_score,validation,0.55,582,0.97,0.5756013745704467
active,legacy_directional_score,validation,0.6,401,0.6683333333333333,0.5311720698254364
active,legacy_directional_score,validation,0.65,76,0.12666666666666668,0.4868421052631579
active,legacy_directional_score,validation,0.7,5,0.008333333333333333,0.8
active,legacy_directional_score,validation,0.75,0,0.0,
active,legacy_directional_score,confirmation,0.5,0,,
active,legacy_directional_score,confirmation,0.55,0,,
active,legacy_directional_score,confirmation,0.6,0,,
active,legacy_directional_score,confirmation,0.65,0,,
active,legacy_directional_score,confirmation,0.7,0,,
active,legacy_directional_score,confirmation,0.75,0,,
active,legacy_directional_score_causal_window,all,0.5,1305,1.0,0.6084291187739463
active,legacy_directional_score_causal_window,all,0.55,1287,0.9862068965517241,0.6076146076146076
active,legacy_directional_score_causal_window,all,0.6,1102,0.8444444444444444,0.5961887477313974
active,legacy_directional_score_causal_window,all,0.65,598,0.4582375478927203,0.6204013377926422
active,legacy_directional_score_causal_window,all,0.7,211,0.16168582375478927,0.6729857819905213
active,legacy_directional_score_causal_window,all,0.75,62,0.0475095785440613,0.6451612903225806
active,legacy_directional_score_causal_window,tuning_early,0.5,255,1.0,0.611764705882353
active,legacy_directional_score_causal_window,tuning_early,0.55,255,1.0,0.611764705882353
active,legacy_directional_score_causal_window,tuning_early,0.6,251,0.984313725490196,0.6095617529880478
active,legacy_directional_score_causal_window,tuning_early,0.65,209,0.8196078431372549,0.6076555023923444
active,legacy_directional_score_causal_window,tuning_early,0.7,86,0.33725490196078434,0.686046511627907
active,legacy_directional_score_causal_window,tuning_early,0.75,32,0.12549019607843137,0.6875
active,legacy_directional_score_causal_window,tuning_late,0.5,450,1.0,0.6466666666666666
active,legacy_directional_score_causal_window,tuning_late,0.55,450,1.0,0.6466666666666666
active,legacy_directional_score_causal_window,tuning_late,0.6,450,1.0,0.6466666666666666
active,legacy_directional_score_causal_window,tuning_late,0.65,313,0.6955555555555556,0.6613418530351438
active,legacy_directional_score_causal_window,tuning_late,0.7,120,0.26666666666666666,0.6583333333333333
active,legacy_directional_score_causal_window,tuning_late,0.75,30,0.06666666666666667,0.6
active,legacy_directional_score_causal_window,validation,0.5,600,1.0,0.5783333333333334
active,legacy_directional_score_causal_window,validation,0.55,582,0.97,0.5756013745704467
active,legacy_directional_score_causal_window,validation,0.6,401,0.6683333333333333,0.5311720698254364
active,legacy_directional_score_causal_window,validation,0.65,76,0.12666666666666668,0.4868421052631579
active,legacy_directional_score_causal_window,validation,0.7,5,0.008333333333333333,0.8
active,legacy_directional_score_causal_window,validation,0.75,0,0.0,
active,legacy_directional_score_causal_window,confirmation,0.5,0,,
active,legacy_directional_score_causal_window,confirmation,0.55,0,,
active,legacy_directional_score_causal_window,confirmation,0.6,0,,
active,legacy_directional_score_causal_window,confirmation,0.65,0,,
active,legacy_directional_score_causal_window,confirmation,0.7,0,,
active,legacy_directional_score_causal_window,confirmation,0.75,0,,
active,causal_global_cohort,all,0.5,1305,1.0,0.6084291187739463
active,causal_global_cohort,all,0.55,1305,1.0,0.6084291187739463
active,causal_global_cohort,all,0.6,1305,1.0,0.6084291187739463
