model,method,auc_p05,brier_p05,ece_p05,auc_p95,brier_p95,ece_p95
active,legacy_directional_score,0.48071894142583826,0.22693240104593745,0.03223177422611283,0.5646761132202716,0.2500931785066811,0.09718045217468474
active,legacy_directional_score_causal_window,0.46223838648835985,0.2293213627677007,0.037698191837488966,0.561288111911009,0.2536730722106651,0.10918363779084915
active,causal_global_cohort,0.40863985128947444,0.2288716877214432,0.0055406299232852625,0.5097637638308398,0.2520874639131948,0.07008276531557951
active,causal_rank_beta,0.4588676378052078,0.22916767200814367,0.015561838348336028,0.5169333685458313,0.25277356442424886,0.07220876304458076
active,causal_regime_beta,0.4075477069167986,0.2307649776966886,0.028742421932927475,0.5112347827662213,0.2567285675884793,0.1151962329211542
active,causal_rank_regime_beta,0.4429123172315335,0.229397385315415,0.026850426124808185,0.5255566239204389,0.25448197350698964,0.09014578333632592
active,causal_platt_score_rank,0.45027507911592907,0.22867279066945265,0.006607026873272617,0.5214066143903444,0.2524788494785133,0.07187186745364699
active,causal_isotonic_score,0.4520579777858457,0.24232347967909917,0.054015180918612814,0.5297829928971208,0.283070199100768,0.12903908296659594
adaptive,legacy_directional_score,0.46416194752516926,0.22972651497334381,0.0318756773179179,0.5348108884278425,0.24629601225116202,0.0850732462832173
adaptive,legacy_directional_score_causal_window,0.45790819907090446,0.2299090436240097,0.03454237344399937,0.5284149992411095,0.2483693778965834,0.09108602237524104
adaptive,causal_global_cohort,0.41176342199800303,0.22835225543476179,0.0037661582974437453,0.4897885303046984,0.246624387947914,0.052398420155262644
adaptive,causal_rank_beta,0.44401202394288164,0.22842418582490853,0.01200141118392896,0.4927297690189088,0.24697903987756192,0.057188323845881
adaptive,causal_regime_beta,0.44449067741003295,0.2290829752743041,0.027557011420908394,0.5253877593366476,0.24917567213462571,0.09449481810101223
adaptive,causal_rank_regime_beta,0.4604267922540334,0.22882598391735154,0.01586186912930106,0.5310542884034499,0.24829920869718172,0.06167859255030163
adaptive,causal_platt_score_rank,0.44405907288220975,0.2284251212850347,0.00976265125724055,0.5013607113092128,0.24677278011409848,0.05766002457100392
adaptive,causal_isotonic_score,0.45543450452976747,0.23343839334056887,0.02885872970349579,0.5230259238417676,0.25652343012278034,0.08977070716919791
