model,method,calls,accuracy,mean_probability,auc,brier,log_loss,ece,calibration_intercept,calibration_slope,spearman
active,legacy_directional_score,1500,0.6173333333333333,0.6546114737232285,0.5224655895124208,0.23850435758930727,0.6704839817081343,0.06332231239366412,0.26670558925429605,0.3277769786056651,0.037824981064212095
active,legacy_directional_score_causal_window,1305,0.6084291187739463,0.6498510084031135,0.5107163806829105,0.24151305382669414,0.6767571184002196,0.07135771951855673,0.3131706939233429,0.2039812411413742,0.018119619477028375
active,causal_global_cohort,1305,0.6084291187739463,0.6349051054835091,0.46247541492702116,0.24055215168565386,0.6744995103031539,0.026475986709562832,1.4568656547084378,-1.8298707828088114,-0.0634520126722882
active,causal_rank_beta,1305,0.6084291187739463,0.6334425170697854,0.4885528449673924,0.2406205398972671,0.6747083452766415,0.03440853173095186,0.5085912590296251,-0.12268034707434947,-0.019355339790308134
active,causal_regime_beta,1305,0.6084291187739463,0.6277926985639906,0.460220242819187,0.24393683017794301,0.6817050958453487,0.06628298017342577,0.7662679598339968,-0.6129219034714668,-0.06726538486244542
active,causal_rank_regime_beta,1305,0.6084291187739463,0.6328133065023586,0.4866907875603228,0.2417121368227161,0.6770725709587311,0.053048432932644156,0.5546931360620931,-0.20688281404211672,-0.022503848292213562
active,causal_platt_score_rank,1305,0.6084291187739463,0.6347260211283895,0.4866488881878275,0.2404161123784603,0.6742313588386777,0.0291797039224275,0.665233888524149,-0.4038959864965638,-0.02257451212213954
active,causal_isotonic_score,1305,0.6084291187739463,0.5882180412801883,0.4918296223634204,0.2605995350089851,0.9732122925608634,0.08502538273899271,0.4524882955350172,-0.06773980730040405,-0.013815257956509576
adaptive,legacy_directional_score,2545,0.6243614931237721,0.6436567702638106,0.5001955125588842,0.23710920790169046,0.6675132201912212,0.05488749001074235,0.4772018471640102,0.05175015998977276,0.0003279959071411972
adaptive,legacy_directional_score_causal_window,2302,0.6185925282363163,0.6401420844580884,0.4919049614803819,0.23907950177592804,0.6716100594464666,0.06089889668916615,0.5131651827305148,-0.05068708721892276,-0.013620922345106333
adaptive,causal_global_cohort,2302,0.6185925282363163,0.6324667533831421,0.45307181157380155,0.23757235656144454,0.6683364846813815,0.013874225146825802,1.678892166359838,-2.195119251729184,-0.07896518421664371
adaptive,causal_rank_beta,2302,0.6185925282363163,0.632568332934222,0.4684172724015254,0.2378643295541192,0.6689795648105326,0.024562824138578132,0.7712770634551666,-0.5265089312244848,-0.05314200585975009
adaptive,causal_regime_beta,2302,0.6185925282363163,0.6226384506639733,0.487625892605769,0.2392963157228722,0.6719527388550682,0.056214718526127645,0.5165477823240073,-0.06448714260949437,-0.020821590084999595
adaptive,causal_rank_regime_beta,2302,0.6185925282363163,0.6308337025423638,0.4969850560518031,0.23843798487621579,0.6702210151496728,0.028432980628625443,0.5334334438226964,-0.09208300155683784,-0.005073035634336442
adaptive,causal_platt_score_rank,2302,0.6185925282363163,0.6330037784242273,0.4731442438125464,0.2377482035959685,0.6687163025359921,0.02377206047585746,1.0152786453492535,-0.9708863253117447,-0.04518819381302591
adaptive,causal_isotonic_score,2302,0.6185925282363163,0.608153347629848,0.490147743850938,0.2443836059921147,0.753137797297149,0.05212052056353309,0.4868572406469103,-0.009056120186121053,-0.016577867949001155
