model,method,bucket,calls,average_probability,observed_accuracy,observed_wilson_ci95_low,observed_wilson_ci95_high,observed_wilson_lcb_95_one_sided
active,legacy_directional_score,<55%,18,0.5400692543745012,0.6666666666666666,0.43749467295945105,0.837212252491663,0.4730995606916803
active,legacy_directional_score,55-60%,185,0.5824087806401745,0.6756756756756757,0.6052400128531741,0.738964063973609,0.6168850523914186
active,legacy_directional_score,60-65%,531,0.6274936463539066,0.5725047080979284,0.5300540070333853,0.6139138898641031,0.5369118119605955
active,legacy_directional_score,65-70%,494,0.6717242071296721,0.6032388663967612,0.5594602751822694,0.6454242280923707,0.566565516546767
active,legacy_directional_score,70-75%,199,0.7212843031953339,0.7035175879396985,0.6366950530669129,0.7626315957894318,0.6478234789866808
active,legacy_directional_score,>=75%,73,0.7655325851481585,0.6438356164383562,0.5293349749798597,0.743954995334245,0.5480228455134353
active,legacy_directional_score_causal_window,<55%,18,0.5400692543745012,0.6666666666666666,0.43749467295945105,0.837212252491663,0.4730995606916803
active,legacy_directional_score_causal_window,55-60%,185,0.5824087806401745,0.6756756756756757,0.6052400128531741,0.738964063973609,0.6168850523914186
active,legacy_directional_score_causal_window,60-65%,504,0.626709511158578,0.5674603174603174,0.5238581727639637,0.6100418836786692,0.5308965233276282
active,legacy_directional_score_causal_window,65-70%,387,0.6712709434459362,0.5917312661498708,0.5420928217790254,0.6395665145007846,0.5501356600260969
active,legacy_directional_score_causal_window,70-75%,149,0.7211853268650541,0.6845637583892618,0.6061091754180948,0.7537408314084116,0.619128198154935
active,legacy_directional_score_causal_window,>=75%,62,0.765945685943486,0.6451612903225806,0.5208113075778423,0.752572671489501,0.5410658609593616
active,causal_global_cohort,60-65%,1140,0.6300440877713916,0.618421052631579,0.5898691717860644,0.6461775267471147,0.5945018957585037
active,causal_global_cohort,65-70%,150,0.6648547691461563,0.5666666666666667,0.4866798706275503,0.6433240967900394,0.4995158300231408
active,causal_global_cohort,70-75%,15,0.7048458149779736,0.26666666666666666,0.10897453325692374,0.5195043405598057,0.12581773563548276
active,causal_rank_beta,55-60%,340,0.587851986569379,0.6058823529411764,0.5530351894682214,0.6563636429091925,0.5616200051358685
active,causal_rank_beta,60-65%,552,0.6283164176785344,0.6304347826086957,0.5893960707207092,0.6696706068630732,0.5960823685752945
active,causal_rank_beta,65-70%,352,0.6718010481305948,0.5795454545454546,0.527390673578938,0.6299827819638519,0.5358226074525984
active,causal_rank_beta,70-75%,61,0.7125930793764036,0.5901639344262295,0.4649979227300693,0.7046466256817463,0.4849109320186425
active,causal_regime_beta,<55%,75,0.5285012568948637,0.6133333333333333,0.5001747668382223,0.715447828865675,0.5184322153607125
active,causal_regime_beta,55-60%,315,0.5738015777229483,0.6507936507936508,0.5966186234953909,0.7013351004380605,0.6054983791750245
active,causal_regime_beta,60-65%,390,0.626298063455947,0.6076923076923076,0.5584087415726182,0.6548750509755985,0.5664161449202206
active,causal_regime_beta,65-70%,510,0.6746185262817161,0.592156862745098,0.5489711667196412,0.6339646365060022,0.5559680616805599
active,causal_regime_beta,70-75%,15,0.7048458149779736,0.26666666666666666,0.10897453325692374,0.5195043405598057,0.12581773563548276
