model,slice,calls,accuracy,mean_probability,auc,brier,log_loss,ece,calibration_intercept,calibration_slope,spearman
active,regime_label:mixed,915,0.6459016393442623,0.6574098969366459,0.5350734265003865,0.22915225696512545,0.6508639026323577,0.03963598995067244,0.30659562119028794,0.4484313832929819,0.05810509696195002
active,regime_label:calm,210,0.5523809523809524,0.645838165385268,0.55520909757887,0.2522101907819367,0.6975409001706084,0.10519959488254994,-0.5833542511521627,1.3147945553175397,0.0950998478615183
active,regime_label:stressed,375,0.584,0.6526963737517484,0.45565507551808915,0.2536482165244385,0.7032051003140436,0.09934793146807054,0.8052576652202521,-0.7269687779690396,-0.07571626380563422
active,rank_group:11_15,500,0.584,0.6260254899653444,0.49988474710221287,0.24620831369357732,0.6858769013889853,0.06343954035103466,0.38111380584653465,-0.08023992968150842,-0.00019678701318175123
active,rank_group:6_10,500,0.63,0.6483826232937402,0.4936250536250536,0.23585634400619243,0.6648842781273091,0.062608837441849,0.7244412594076832,-0.31148378882774075,-0.010662011933591035
active,rank_group:4_5,200,0.625,0.6711137335101117,0.54496,0.2361729939123945,0.6656704265776053,0.06426287352791228,0.10480573514701436,0.5661097918295392,0.07540115472161772
active,rank_group:1_3,300,0.6466666666666666,0.7016346908442608,0.5302956623225054,0.23163202917199052,0.6573709916284443,0.06368901662823984,0.21710332281112535,0.4484091896801159,0.05016560221580516
active,indicator_id:X17,14,0.6428571428571429,0.6579146058548451,0.6,0.2276623452206916,0.6475542577326011,0.015057462997702165,-2.456545777888675,4.675433501156991,0.16641005886756877
active,indicator_id:X18,34,0.5882352941176471,0.6793229971421949,0.5928571428571427,0.24740722859570863,0.6885554343721372,0.09108770302454783,-1.3526388231149946,2.278963592087109,0.15837767500702488
active,indicator_id:X21,55,0.6181818181818182,0.6602449930356892,0.5014005602240897,0.23790823038076767,0.6688587748464065,0.04206317485387081,0.15341885381123915,0.4936746989727183,0.0023574941499444626
active,indicator_id:X24,100,0.63,0.6565156818930589,0.5225225225225225,0.23480908768008044,0.6626284491133344,0.07604859101218334,0.4536142803863599,0.120833398333005,0.037670423743321746
active,indicator_id:X25,93,0.6559139784946236,0.6475545587734518,0.4907786885245901,0.22857657964108924,0.649717797185171,0.050421476640055085,1.1628137783571042,-0.8436094522470772,-0.015176281760133652
active,indicator_id:X28,79,0.6075949367088608,0.6340299978478473,0.4663978494623656,0.24287568350439864,0.6795305341906013,0.05342207724886361,0.8080108663530803,-0.6673444584606193,-0.05684167496858337
active,indicator_id:X3,99,0.6666666666666666,0.6691469370598331,0.4756657483930211,0.22605244918478778,0.6448672279720379,0.0356996640800513,1.0531820892772368,-0.5044369386231514,-0.03973969385331191
active,indicator_id:X32,73,0.684931506849315,0.6315806401406939,0.39826086956521745,0.22524737764473232,0.6431303996377108,0.06260749805356997,2.709694557397791,-3.498491412956407,-0.1637364825647577
active,indicator_id:X35,35,0.42857142857142855,0.6460055588278495,0.6466666666666667,0.2858028473553675,0.7675102287800196,0.23431392629455894,-1.7014946361704086,2.309778341735501,0.25153125820901295
active,indicator_id:X37,21,0.42857142857142855,0.6508867627418861,0.7129629629629629,0.28147012779875524,0.758139823016878,0.2223153341704575,-5.3333122800865,7.825693721705799,0.3654939925441437
active,indicator_id:X38,100,0.64,0.6716053492195075,0.48220486111111105,0.23637596010036258,0.6675247939734703,0.06818579333373903,0.8840726400517035,-0.42409433341086994,-0.029590680867001867
active,indicator_id:X39,100,0.7,0.7066615275091453,0.5252380952380952,0.2106893798537861,0.6124681442743272,0.014938096373956994,0.513539246593405,0.3765194873452707,0.04006623750093843
active,indicator_id:X40,100,0.66,0.699979426847719,0.4732620320855615,0.23364234204217083,0.6630764581053826,0.06310718652961886,0.9067905510017201,-0.2795803589696343,-0.04387853942945022
active,indicator_id:X43,91,0.6043956043956044,0.6793644481531618,0.6095959595959597,0.23761408864273711,0.668429677970391,0.07496884375755734,-0.5073363260015998,1.2319356208223249,0.18565326584606323
active,indicator_id:X46,39,0.5384615384615384,0.673049743030847,0.5978835978835979,0.26278466518849947,0.7206764235887572,0.13458820456930842,-2.990303393880795,4.35598651994279,0.16909261994135025
active,indicator_id:X23,91,0.6483516483516484,0.6426360791874629,0.4666313559322034,0.2327698716838897,0.6586717469237449,0.05212670350569147,1.3377992193014892,-1.219809001437965,-0.055196940897580496
active,indicator_id:X42,16,0.5625,0.6588631543051295,0.7777777777777778,0.24407194379580616,0.6807115285895101,0.09636315430512957,-8.743499570309378,13.443272895517863,0.4782867026529595
active,indicator_id:X29,64,0.609375,0.6214444144522124,0.4420512820512821,0.2429497526213013,0.679375497708366,0.1349966629865561,1.2315786644493585,-1.5683973802624405,-0.09795121106084345
active,indicator_id:X31,54,0.5,0.6321220748552128,0.5473251028806585,0.2649336220272331,0.724410280975686,0.13212207485521288,-0.8176745911418357,1.5023641088737678,0.08198354140267243
active,indicator_id:X19,20,0.55,0.6621149290272781,0.6464646464646464,0.2522099798794294,0.6986699965798667,0.11211492902727821,-2.5637108909490007,4.106983803621664,0.25272870971440103
active,indicator_id:X49,6,0.5,0.6347103950180218,0.4444444444444445,0.2675306985953907,0.7296962273438945,0.13471039501802184,-1.0206541460371856,1.8456409224590724,-0.09759000729485333
active,indicator_id:X6,6,0.3333333333333333,0.6470665688979511,1.0,0.3014025906100883,0.797458147978363,0.3137332355646178,-146.99473122788768,223.95709148864356,0.8280786712108252
active,indicator_id:X16,5,0.4,0.6415299676007546,0.6666666666666667,0.288596661469817,0.7732896429865503,0.24152996760075468,-3.4340397362121178,5.022906468746185,0.28867513459481287
active,indicator_id:X30,1,1.0,0.6227038872567776,,0.14235235669114638,0.47368417453966394,0.3772961127432224,,,
active,indicator_id:X34,10,0.6,0.6418690115850529,0.875,0.2278930664842819,0.6464911761028275,0.04186901158505296,-14.498618634530255,26.85425570976885,0.6396021490668313
active,indicator_id:X36,5,0.6,0.6321445610166379,0.6666666666666666,0.23488612518827515,0.6616056561152102,0.19245948477838898,-2.5392221132463333,5.4977305091490045,0.28867513459481287
