candidate_id,local_weight,pattern_weight,down_threshold,down_margin,minimum_down_calls_met,months,calls,hits,accuracy,up_calls,down_calls,down_hits,down_accuracy
59,0.5,0.25,0.65,0.1,True,60,900,580,0.6444444444444445,870,30,22,0.7333333333333333
50,0.5,0.25,0.5,0.1,True,60,900,580,0.6444444444444445,864,36,25,0.6944444444444444
53,0.5,0.25,0.55,0.1,True,60,900,580,0.6444444444444445,864,36,25,0.6944444444444444
56,0.5,0.25,0.6,0.1,True,60,900,580,0.6444444444444445,864,36,25,0.6944444444444444
57,0.5,0.25,0.65,0.0,True,60,900,579,0.6433333333333333,868,32,23,0.71875
58,0.5,0.25,0.65,0.05,True,60,900,579,0.6433333333333333,868,32,23,0.71875
69,0.25,0.5,0.65,0.0,True,60,900,579,0.6433333333333333,868,32,22,0.6875
70,0.25,0.5,0.65,0.05,True,60,900,579,0.6433333333333333,868,32,22,0.6875
71,0.25,0.5,0.65,0.1,True,60,900,579,0.6433333333333333,869,31,21,0.6774193548387096
62,0.25,0.5,0.5,0.1,True,60,900,578,0.6422222222222222,862,38,26,0.6842105263157895
65,0.25,0.5,0.55,0.1,True,60,900,578,0.6422222222222222,862,38,26,0.6842105263157895
68,0.25,0.5,0.6,0.1,True,60,900,578,0.6422222222222222,862,38,26,0.6842105263157895
49,0.5,0.25,0.5,0.05,True,60,900,578,0.6422222222222222,861,39,26,0.6666666666666666
52,0.5,0.25,0.55,0.05,True,60,900,578,0.6422222222222222,861,39,26,0.6666666666666666
55,0.5,0.25,0.6,0.05,True,60,900,578,0.6422222222222222,861,39,26,0.6666666666666666
60,0.25,0.5,0.5,0.0,True,60,900,577,0.6411111111111111,859,41,27,0.6585365853658537
61,0.25,0.5,0.5,0.05,True,60,900,577,0.6411111111111111,859,41,27,0.6585365853658537
63,0.25,0.5,0.55,0.0,True,60,900,577,0.6411111111111111,859,41,27,0.6585365853658537
64,0.25,0.5,0.55,0.05,True,60,900,577,0.6411111111111111,859,41,27,0.6585365853658537
66,0.25,0.5,0.6,0.0,True,60,900,577,0.6411111111111111,859,41,27,0.6585365853658537
67,0.25,0.5,0.6,0.05,True,60,900,577,0.6411111111111111,859,41,27,0.6585365853658537
48,0.5,0.25,0.5,0.0,True,60,900,577,0.6411111111111111,860,40,26,0.65
51,0.5,0.25,0.55,0.0,True,60,900,577,0.6411111111111111,860,40,26,0.65
54,0.5,0.25,0.6,0.0,True,60,900,577,0.6411111111111111,860,40,26,0.65
35,0.5,0.0,0.65,0.1,True,60,900,576,0.64,851,49,29,0.5918367346938775
26,0.5,0.0,0.5,0.1,True,60,900,575,0.6388888888888888,843,57,34,0.5964912280701754
29,0.5,0.0,0.55,0.1,True,60,900,575,0.6388888888888888,843,57,34,0.5964912280701754
32,0.5,0.0,0.6,0.1,True,60,900,575,0.6388888888888888,843,57,34,0.5964912280701754
33,0.5,0.0,0.65,0.0,True,60,900,574,0.6377777777777778,835,65,38,0.5846153846153846
38,0.25,0.25,0.5,0.1,True,60,900,573,0.6366666666666667,851,49,30,0.6122448979591837
41,0.25,0.25,0.55,0.1,True,60,900,573,0.6366666666666667,851,49,30,0.6122448979591837
44,0.25,0.25,0.6,0.1,True,60,900,573,0.6366666666666667,851,49,30,0.6122448979591837
14,0.25,0.0,0.5,0.1,True,60,900,573,0.6366666666666667,840,60,36,0.6
17,0.25,0.0,0.55,0.1,True,60,900,573,0.6366666666666667,840,60,36,0.6
20,0.25,0.0,0.6,0.1,True,60,900,573,0.6366666666666667,840,60,36,0.6
24,0.5,0.0,0.5,0.0,True,60,900,573,0.6366666666666667,823,77,45,0.5844155844155844
27,0.5,0.0,0.55,0.0,True,60,900,573,0.6366666666666667,823,77,45,0.5844155844155844
30,0.5,0.0,0.6,0.0,True,60,900,573,0.6366666666666667,823,77,45,0.5844155844155844
34,0.5,0.0,0.65,0.05,True,60,900,573,0.6366666666666667,837,63,36,0.5714285714285714
47,0.25,0.25,0.65,0.1,True,60,900,572,0.6355555555555555,855,45,27,0.6
23,0.25,0.0,0.65,0.1,True,60,900,572,0.6355555555555555,846,54,32,0.5925925925925926
36,0.25,0.25,0.5,0.0,True,60,900,571,0.6344444444444445,848,52,31,0.5961538461538461
37,0.25,0.25,0.5,0.05,True,60,900,571,0.6344444444444445,848,52,31,0.5961538461538461
39,0.25,0.25,0.55,0.0,True,60,900,571,0.6344444444444445,848,52,31,0.5961538461538461
40,0.25,0.25,0.55,0.05,True,60,900,571,0.6344444444444445,848,52,31,0.5961538461538461
42,0.25,0.25,0.6,0.0,True,60,900,571,0.6344444444444445,848,52,31,0.5961538461538461
43,0.25,0.25,0.6,0.05,True,60,900,571,0.6344444444444445,848,52,31,0.5961538461538461
45,0.25,0.25,0.65,0.0,True,60,900,571,0.6344444444444445,853,47,28,0.5957446808510638
46,0.25,0.25,0.65,0.05,True,60,900,571,0.6344444444444445,853,47,28,0.5957446808510638
13,0.25,0.0,0.5,0.05,True,60,900,571,0.6344444444444445,829,71,41,0.5774647887323944
16,0.25,0.0,0.55,0.05,True,60,900,571,0.6344444444444445,829,71,41,0.5774647887323944
19,0.25,0.0,0.6,0.05,True,60,900,571,0.6344444444444445,829,71,41,0.5774647887323944
25,0.5,0.0,0.5,0.05,True,60,900,571,0.6344444444444445,826,74,42,0.5675675675675675
28,0.5,0.0,0.55,0.05,True,60,900,571,0.6344444444444445,826,74,42,0.5675675675675675
31,0.5,0.0,0.6,0.05,True,60,900,571,0.6344444444444445,826,74,42,0.5675675675675675
