arch,window,calls,hits_dir_aware,hit_rate_dir_aware,hits_y_true_reported,final_up_calls,final_down_calls,down_hits,down_precision,overlay_flips,external_inserts,prod_down_rows_in_base,A_hits_dir_aware,direct_hit_delta_vs_A
A,confirmation,799,508,0.6357947434292867,505,792,7,5,0.7142857142857143,0,0,7,508,0
A,tuning,1071,686,0.6405228758169934,686,1067,4,2,0.5,0,0,4,686,0
A,validation,675,395,0.5851851851851851,395,675,0,0,,0,0,0,395,0
B,confirmation,799,508,0.6357947434292867,505,792,7,5,0.7142857142857143,0,0,7,508,0
B,tuning,1071,686,0.6405228758169934,686,1067,4,2,0.5,0,0,4,686,0
B,validation,675,395,0.5851851851851851,395,675,0,0,,0,0,0,395,0
C,confirmation,799,508,0.6357947434292867,505,792,7,5,0.7142857142857143,0,0,7,508,0
C,tuning,1071,686,0.6405228758169934,686,1067,4,2,0.5,0,0,4,686,0
C,validation,675,395,0.5851851851851851,395,675,0,0,,0,0,0,395,0
D,confirmation,799,508,0.6357947434292867,505,792,7,5,0.7142857142857143,0,0,7,508,0
D,tuning,1071,686,0.6405228758169934,686,1067,4,2,0.5,0,0,4,686,0
D,validation,675,395,0.5851851851851851,395,675,0,0,,0,0,0,395,0
E,confirmation,799,503,0.6295369211514393,501,779,20,11,0.55,0,13,7,508,-5
E,tuning,1071,687,0.6414565826330533,686,1066,5,3,0.6,0,1,4,686,1
E,validation,675,391,0.5792592592592593,397,641,34,14,0.4117647058823529,0,34,0,395,-4
F,confirmation,799,488,0.6107634543178974,498,773,26,8,0.3076923076923077,0,0,26,508,-20
F,tuning,1071,659,0.61531279178338,658,1046,25,13,0.52,0,0,25,686,-27
F,validation,675,391,0.5792592592592593,390,646,29,15,0.5172413793103449,0,0,29,395,-4
G,confirmation,799,480,0.6007509386733417,497,742,57,20,0.3508771929824561,0,31,26,508,-28
G,tuning,1071,662,0.6181139122315593,648,1015,56,35,0.625,0,31,25,686,-24
G,validation,675,381,0.5644444444444444,384,570,105,51,0.4857142857142857,0,76,29,395,-14
