period,candidate,bucket,rows,mean_probability,observed_rate
tuning,A_global,"(0.00379, 0.601]",479,0.5199141396855399,0.5052192066805845
tuning,A_global,"(0.601, 0.654]",479,0.6296262098611425,0.5469728601252609
tuning,A_global,"(0.654, 0.701]",479,0.6775305133784656,0.5762004175365344
tuning,A_global,"(0.701, 0.759]",479,0.7287980028247703,0.5949895615866388
tuning,A_global,"(0.759, 0.999]",479,0.7992256165255259,0.6283924843423799
tuning,B_pure_local,"(0.00379, 0.501]",479,0.4706972576375673,0.5010438413361169
tuning,B_pure_local,"(0.501, 0.522]",479,0.5119019249538413,0.5908141962421712
tuning,B_pure_local,"(0.522, 0.539]",479,0.5299969254409972,0.6116910229645094
tuning,B_pure_local,"(0.539, 0.573]",479,0.5519610500658184,0.5594989561586639
tuning,B_pure_local,"(0.573, 0.985]",479,0.6801368088962951,0.5887265135699373
tuning,C_fixed_shrinkage,"(0.00379, 0.575]",479,0.49971058917397554,0.4968684759916493
tuning,C_fixed_shrinkage,"(0.575, 0.623]",479,0.600981684748301,0.5532359081419624
tuning,C_fixed_shrinkage,"(0.623, 0.666]",479,0.644805187963809,0.5887265135699373
tuning,C_fixed_shrinkage,"(0.666, 0.724]",479,0.6926963107264507,0.5824634655532359
tuning,C_fixed_shrinkage,"(0.724, 0.985]",479,0.7675887366101768,0.6304801670146137
tuning,D_sample_aware_shrinkage,"(0.00379, 0.599]",479,0.5193518667480639,0.4968684759916493
tuning,D_sample_aware_shrinkage,"(0.599, 0.651]",479,0.6275471612533837,0.5594989561586639
tuning,D_sample_aware_shrinkage,"(0.651, 0.698]",479,0.6743698242623216,0.569937369519833
tuning,D_sample_aware_shrinkage,"(0.698, 0.754]",479,0.7249842307472036,0.5908141962421712
tuning,D_sample_aware_shrinkage,"(0.754, 0.996]",479,0.7948586963618566,0.6346555323590815
tuning,E_interaction,"(0.356, 0.617]",479,0.5624209374747173,0.5302713987473904
tuning,E_interaction,"(0.617, 0.653]",479,0.6361218656108555,0.6012526096033403
tuning,E_interaction,"(0.653, 0.685]",479,0.668800354514434,0.5845511482254697
tuning,E_interaction,"(0.685, 0.72]",479,0.701271067042808,0.5657620041753654
tuning,E_interaction,"(0.72, 0.97]",479,0.7518525728807751,0.569937369519833
validation,A_global,"(0.24, 0.448]",350,0.3914236668219121,0.5285714285714286
validation,A_global,"(0.448, 0.508]",350,0.4792000404143855,0.5485714285714286
validation,A_global,"(0.508, 0.558]",350,0.5329583994453778,0.5485714285714286
validation,A_global,"(0.558, 0.615]",350,0.5834994876042214,0.52
validation,A_global,"(0.615, 0.971]",350,0.6652115347704611,0.5428571428571428
validation,B_pure_local,"(0.264, 0.482]",350,0.44824930021098663,0.49142857142857144
validation,B_pure_local,"(0.482, 0.509]",350,0.497236899363218,0.5171428571428571
validation,B_pure_local,"(0.509, 0.531]",350,0.5195702968032196,0.5542857142857143
validation,B_pure_local,"(0.531, 0.553]",350,0.5410958209040965,0.5771428571428572
validation,B_pure_local,"(0.553, 0.772]",350,0.5877911012744367,0.5485714285714286
validation,C_fixed_shrinkage,"(0.26, 0.461]",350,0.4034592914643465,0.5285714285714286
validation,C_fixed_shrinkage,"(0.461, 0.518]",350,0.4904742290509198,0.5
validation,C_fixed_shrinkage,"(0.518, 0.566]",350,0.5436864153618225,0.5742857142857143
validation,C_fixed_shrinkage,"(0.566, 0.619]",350,0.5911842036764344,0.5342857142857143
validation,C_fixed_shrinkage,"(0.619, 0.772]",350,0.665061023129627,0.5514285714285714
validation,D_sample_aware_shrinkage,"(0.251, 0.451]",350,0.39487832640647963,0.5228571428571429
validation,D_sample_aware_shrinkage,"(0.451, 0.51]",350,0.4819238174863719,0.5571428571428572
validation,D_sample_aware_shrinkage,"(0.51, 0.56]",350,0.5353412015092791,0.54
validation,D_sample_aware_shrinkage,"(0.56, 0.616]",350,0.5846282149314702,0.5257142857142857
validation,D_sample_aware_shrinkage,"(0.616, 0.925]",350,0.663934939444845,0.5428571428571428
validation,E_interaction,"(-0.0009963, 0.51]",350,0.4645047815787437,0.54
validation,E_interaction,"(0.51, 0.549]",350,0.5306058040613375,0.56
validation,E_interaction,"(0.549, 0.576]",350,0.5627823583473436,0.5228571428571429
validation,E_interaction,"(0.576, 0.61]",350,0.5927209545474343,0.5342857142857143
validation,E_interaction,"(0.61, 0.793]",350,0.6376834339773428,0.5314285714285715
