period,origin_position,baseline_calls,candidate_calls,overlap_count,overlap_pct,added,removed
tuning,120,15,15,9,0.6,"X19,X2,X42,X45,X47,X48","X18,X21,X25,X28,X32,X37"
tuning,121,15,15,10,0.6666666666666666,"X17,X19,X2,X48,X49","X21,X23,X25,X32,X37"
tuning,122,15,15,9,0.6,"X19,X2,X42,X47,X48,X49","X18,X21,X25,X28,X32,X37"
tuning,123,15,15,10,0.6666666666666666,"X19,X2,X47,X48,X49","X18,X21,X25,X28,X37"
tuning,124,15,15,10,0.6666666666666666,"X17,X19,X2,X42,X48","X21,X28,X31,X32,X37"
tuning,125,15,15,9,0.6,"X17,X19,X2,X42,X48,X49","X21,X23,X28,X29,X32,X37"
tuning,126,15,15,11,0.7333333333333333,"X19,X25,X29,X49","X21,X23,X32,X37"
tuning,127,15,15,12,0.8,"X17,X29,X48","X25,X28,X37"
tuning,128,15,15,10,0.6666666666666666,"X18,X19,X2,X48,X49","X21,X23,X32,X37,X42"
tuning,129,15,15,11,0.7333333333333333,"X19,X2,X48,X49","X21,X23,X32,X37"
tuning,130,15,15,11,0.7333333333333333,"X2,X48,X49,X6","X21,X29,X37,X42"
tuning,131,15,15,9,0.6,"X17,X19,X2,X20,X48,X49","X25,X28,X29,X32,X35,X37"
tuning,132,15,15,12,0.8,"X2,X49,X6","X28,X35,X42"
tuning,133,15,15,10,0.6666666666666666,"X2,X20,X48,X49,X6","X23,X24,X29,X35,X37"
tuning,134,15,15,10,0.6666666666666666,"X19,X2,X45,X48,X49","X18,X23,X25,X35,X37"
tuning,135,15,15,10,0.6666666666666666,"X17,X2,X20,X49,X6","X23,X25,X29,X35,X42"
tuning,136,15,15,9,0.6,"X17,X2,X20,X48,X49,X6","X23,X24,X25,X28,X35,X37"
tuning,137,15,15,8,0.5333333333333333,"X17,X2,X42,X45,X48,X49,X6","X19,X23,X24,X25,X29,X35,X37"
tuning,138,15,15,9,0.6,"X17,X19,X2,X48,X49,X50","X23,X25,X28,X29,X3,X31"
tuning,139,15,15,11,0.7333333333333333,"X2,X29,X49,X50","X23,X28,X3,X31"
tuning,140,15,15,11,0.7333333333333333,"X2,X42,X49,X50","X23,X29,X3,X6"
tuning,141,15,15,11,0.7333333333333333,"X2,X44,X49,X50","X17,X21,X28,X6"
tuning,142,15,15,13,0.8666666666666667,"X2,X50","X23,X3"
tuning,143,15,15,12,0.8,"X49,X50,X6","X17,X25,X29"
tuning,144,15,15,13,0.8666666666666667,"X49,X50","X28,X31"
tuning,145,15,15,13,0.8666666666666667,"X19,X6","X28,X42"
tuning,146,15,15,13,0.8666666666666667,"X28,X49","X19,X35"
tuning,147,15,15,12,0.8,"X32,X49,X50","X16,X19,X31"
tuning,148,15,15,13,0.8666666666666667,"X27,X49","X29,X32"
tuning,149,15,15,14,0.9333333333333333,X50,X24
tuning,150,15,15,14,0.9333333333333333,X27,X46
tuning,151,15,15,14,0.9333333333333333,X49,X30
tuning,152,15,15,13,0.8666666666666667,"X32,X49","X34,X36"
tuning,153,15,15,12,0.8,"X29,X32,X49","X19,X31,X6"
tuning,154,15,15,14,0.9333333333333333,X32,X6
tuning,155,15,15,12,0.8,"X32,X34,X49","X31,X35,X48"
tuning,156,15,15,12,0.8,"X32,X34,X49","X17,X28,X31"
tuning,157,15,15,13,0.8666666666666667,"X34,X48","X18,X31"
tuning,158,15,15,13,0.8666666666666667,"X27,X34","X35,X46"
tuning,159,15,15,13,0.8666666666666667,"X27,X34","X16,X46"
tuning,160,15,15,12,0.8,"X27,X29,X34","X16,X21,X36"
tuning,161,15,15,13,0.8666666666666667,"X29,X42","X21,X31"
tuning,162,15,15,13,0.8666666666666667,"X34,X42","X2,X31"
tuning,163,15,15,13,0.8666666666666667,"X29,X34","X2,X31"
tuning,164,15,15,14,0.9333333333333333,X34,X28
tuning,165,15,15,13,0.8666666666666667,"X29,X33","X2,X31"
tuning,166,15,15,12,0.8,"X2,X33,X34","X21,X28,X36"
tuning,167,15,15,12,0.8,"X29,X33,X36","X21,X28,X31"
tuning,168,15,15,13,0.8666666666666667,"X33,X34","X24,X28"
tuning,169,15,15,14,0.9333333333333333,X34,X48
tuning,170,15,15,12,0.8,"X28,X29,X33","X2,X31,X48"
tuning,171,15,15,12,0.8,"X26,X29,X34","X28,X31,X48"
tuning,172,15,15,13,0.8666666666666667,"X29,X33","X2,X27"
tuning,173,15,15,13,0.8666666666666667,"X29,X34","X31,X47"
tuning,174,15,15,14,0.9333333333333333,X29,X31
tuning,175,15,15,14,0.9333333333333333,X34,X31
tuning,176,15,15,13,0.8666666666666667,"X33,X34","X26,X31"
tuning,177,15,15,13,0.8666666666666667,"X26,X34","X28,X31"
tuning,178,15,15,14,0.9333333333333333,X29,X31
tuning,179,15,15,15,1.0,,
validation,180,15,15,15,1.0,,
validation,181,15,15,15,1.0,,
validation,182,15,15,15,1.0,,
validation,183,15,15,14,0.9333333333333333,X26,X34
validation,184,15,15,14,0.9333333333333333,X31,X27
validation,185,15,15,13,0.8666666666666667,"X27,X34","X31,X38"
validation,186,15,15,15,1.0,,
validation,187,15,15,13,0.8666666666666667,"X35,X9","X31,X43"
validation,188,15,15,14,0.9333333333333333,X11,X43
validation,189,15,15,14,0.9333333333333333,X28,X31
validation,190,15,15,14,0.9333333333333333,X11,X43
validation,191,15,15,13,0.8666666666666667,"X11,X31","X34,X36"
validation,192,15,15,14,0.9333333333333333,X31,X35
validation,193,15,15,14,0.9333333333333333,X11,X43
validation,194,15,15,12,0.8,"X11,X26,X32","X31,X35,X42"
validation,195,15,15,14,0.9333333333333333,X25,X31
validation,196,15,15,12,0.8,"X11,X22,X43","X31,X34,X40"
validation,197,15,15,14,0.9333333333333333,X22,X43
validation,198,15,15,13,0.8666666666666667,"X27,X9","X31,X43"
validation,199,15,15,14,0.9333333333333333,X33,X31
validation,200,15,15,14,0.9333333333333333,X31,X43
validation,201,15,15,14,0.9333333333333333,X31,X43
validation,202,15,15,14,0.9333333333333333,X36,X43
validation,203,15,15,13,0.8666666666666667,"X29,X44","X31,X43"
validation,204,15,15,14,0.9333333333333333,X44,X31
validation,205,15,15,14,0.9333333333333333,X28,X43
validation,206,15,15,14,0.9333333333333333,X27,X31
validation,207,15,15,14,0.9333333333333333,X34,X43
validation,208,15,15,14,0.9333333333333333,X34,X16
validation,209,15,15,14,0.9333333333333333,X34,X43
validation,210,15,15,14,0.9333333333333333,X37,X43
validation,211,15,15,13,0.8666666666666667,"X33,X36","X3,X35"
validation,212,15,15,13,0.8666666666666667,"X22,X37","X31,X43"
validation,213,15,15,13,0.8666666666666667,"X22,X37","X33,X43"
validation,214,15,15,13,0.8666666666666667,"X22,X36","X27,X33"
validation,215,15,15,14,0.9333333333333333,X37,X43
validation,216,15,15,13,0.8666666666666667,"X36,X8","X35,X43"
validation,217,15,15,13,0.8666666666666667,"X22,X35","X16,X38"
validation,218,15,15,13,0.8666666666666667,"X36,X8","X27,X35"
validation,219,15,15,13,0.8666666666666667,"X36,X8","X3,X43"
confirmation,220,15,15,12,0.8,"X27,X36,X8","X26,X3,X43"
confirmation,221,15,15,13,0.8666666666666667,"X36,X8","X3,X43"
confirmation,222,15,15,13,0.8666666666666667,"X36,X44","X38,X43"
confirmation,223,15,15,13,0.8666666666666667,"X22,X36","X26,X43"
confirmation,224,15,15,15,1.0,,
confirmation,225,15,15,13,0.8666666666666667,"X26,X8","X16,X43"
confirmation,226,15,15,14,0.9333333333333333,X44,X28
confirmation,227,15,15,12,0.8,"X26,X36,X44","X22,X35,X43"
confirmation,228,15,15,12,0.8,"X1,X36,X49","X22,X29,X43"
confirmation,229,15,15,13,0.8666666666666667,"X22,X28","X38,X43"
confirmation,230,15,15,14,0.9333333333333333,X26,X34
confirmation,231,15,15,13,0.8666666666666667,"X22,X8","X28,X34"
confirmation,232,15,15,13,0.8666666666666667,"X22,X36","X28,X43"
confirmation,233,15,15,13,0.8666666666666667,"X29,X49","X28,X43"
confirmation,234,15,15,14,0.9333333333333333,X36,X28
confirmation,235,15,15,13,0.8666666666666667,"X22,X29","X28,X43"
confirmation,236,15,15,13,0.8666666666666667,"X36,X8","X22,X28"
confirmation,237,15,15,13,0.8666666666666667,"X29,X8","X22,X28"
confirmation,238,15,15,14,0.9333333333333333,X8,X43
confirmation,239,15,15,15,1.0,,
confirmation,240,15,15,13,0.8666666666666667,"X22,X8","X24,X25"
confirmation,241,15,15,12,0.8,"X22,X34,X8","X24,X25,X28"
confirmation,242,15,15,13,0.8666666666666667,"X36,X8","X28,X37"
confirmation,243,15,15,12,0.8,"X1,X44,X8","X24,X3,X35"
confirmation,244,15,15,11,0.7333333333333333,"X1,X36,X49,X8","X22,X24,X3,X43"
confirmation,245,15,15,12,0.8,"X1,X22,X8","X24,X25,X34"
confirmation,246,15,15,14,0.9333333333333333,X2,X34
confirmation,247,15,15,13,0.8666666666666667,"X2,X36","X24,X35"
confirmation,248,15,15,12,0.8,"X34,X36,X8","X25,X28,X3"
confirmation,249,15,15,12,0.8,"X2,X34,X8","X24,X28,X3"
confirmation,250,15,15,13,0.8666666666666667,"X13,X8","X24,X3"
confirmation,251,15,15,12,0.8,"X13,X34,X37","X11,X23,X3"
confirmation,252,15,15,11,0.7333333333333333,"X13,X24,X35,X37","X11,X23,X28,X9"
confirmation,253,15,15,11,0.7333333333333333,"X13,X28,X35,X37","X11,X25,X34,X9"
confirmation,254,15,15,12,0.8,"X13,X28,X37","X3,X35,X8"
confirmation,255,15,15,11,0.7333333333333333,"X25,X29,X34,X36","X23,X24,X28,X40"
confirmation,256,15,15,13,0.8666666666666667,"X29,X34","X28,X40"
confirmation,257,15,15,12,0.8,"X2,X23,X29","X25,X31,X40"
confirmation,258,15,15,12,0.8,"X13,X2,X24","X25,X28,X40"
confirmation,259,15,15,12,0.8,"X12,X13,X23","X3,X40,X8"
confirmation,260,15,15,11,0.7333333333333333,"X1,X13,X2,X25","X24,X28,X3,X38"
confirmation,261,15,15,13,0.8666666666666667,"X1,X29","X23,X3"
confirmation,262,15,15,12,0.8,"X13,X29,X30","X3,X38,X8"
confirmation,263,15,15,13,0.8666666666666667,"X13,X2","X24,X25"
confirmation,264,15,15,13,0.8666666666666667,"X1,X13","X24,X38"
confirmation,265,15,15,13,0.8666666666666667,"X8,X9","X25,X28"
confirmation,266,15,15,13,0.8666666666666667,"X17,X29","X24,X8"
