period,origin_position,baseline_calls,candidate_calls,overlap_count,overlap_pct,added,removed
tuning,120,15,15,15,1.0,,
tuning,121,15,15,15,1.0,,
tuning,122,15,15,15,1.0,,
tuning,123,15,15,15,1.0,,
tuning,124,15,15,14,0.9333333333333333,X17,X21
tuning,125,15,15,15,1.0,,
tuning,126,15,15,15,1.0,,
tuning,127,15,15,15,1.0,,
tuning,128,15,15,15,1.0,,
tuning,129,15,15,14,0.9333333333333333,X28,X23
tuning,130,15,15,15,1.0,,
tuning,131,15,15,15,1.0,,
tuning,132,15,15,15,1.0,,
tuning,133,15,15,15,1.0,,
tuning,134,15,15,15,1.0,,
tuning,135,15,15,14,0.9333333333333333,X17,X25
tuning,136,15,15,15,1.0,,
tuning,137,15,15,14,0.9333333333333333,X17,X29
tuning,138,15,15,15,1.0,,
tuning,139,15,15,15,1.0,,
tuning,140,15,15,14,0.9333333333333333,X31,X29
tuning,141,15,15,15,1.0,,
tuning,142,15,15,15,1.0,,
tuning,143,15,15,15,1.0,,
tuning,144,15,15,15,1.0,,
tuning,145,15,15,15,1.0,,
tuning,146,15,15,15,1.0,,
tuning,147,15,15,15,1.0,,
tuning,148,15,15,15,1.0,,
tuning,149,15,15,15,1.0,,
tuning,150,15,15,15,1.0,,
tuning,151,15,15,14,0.9333333333333333,X6,X30
tuning,152,15,15,15,1.0,,
tuning,153,15,15,15,1.0,,
tuning,154,15,15,15,1.0,,
tuning,155,15,15,15,1.0,,
tuning,156,15,15,14,0.9333333333333333,X48,X31
tuning,157,15,15,15,1.0,,
tuning,158,15,15,15,1.0,,
tuning,159,15,15,15,1.0,,
tuning,160,15,15,15,1.0,,
tuning,161,15,15,15,1.0,,
tuning,162,15,15,15,1.0,,
tuning,163,15,15,15,1.0,,
tuning,164,15,15,15,1.0,,
tuning,165,15,15,15,1.0,,
tuning,166,15,15,14,0.9333333333333333,X2,X29
tuning,167,15,15,15,1.0,,
tuning,168,15,15,15,1.0,,
tuning,169,15,15,15,1.0,,
tuning,170,15,15,15,1.0,,
tuning,171,15,15,15,1.0,,
tuning,172,15,15,14,0.9333333333333333,X33,X2
tuning,173,15,15,15,1.0,,
tuning,174,15,15,14,0.9333333333333333,X2,X31
tuning,175,15,15,15,1.0,,
tuning,176,15,15,15,1.0,,
tuning,177,15,15,15,1.0,,
tuning,178,15,15,15,1.0,,
tuning,179,15,15,15,1.0,,
validation,180,15,15,15,1.0,,
validation,181,15,15,15,1.0,,
validation,182,15,15,15,1.0,,
validation,183,15,15,15,1.0,,
validation,184,15,15,15,1.0,,
validation,185,15,15,15,1.0,,
validation,186,15,15,15,1.0,,
validation,187,15,15,14,0.9333333333333333,X35,X29
validation,188,15,15,15,1.0,,
validation,189,15,15,15,1.0,,
validation,190,15,15,15,1.0,,
validation,191,15,15,15,1.0,,
validation,192,15,15,15,1.0,,
validation,193,15,15,15,1.0,,
validation,194,15,15,14,0.9333333333333333,X32,X35
validation,195,15,15,14,0.9333333333333333,X25,X33
validation,196,15,15,15,1.0,,
validation,197,15,15,15,1.0,,
validation,198,15,15,15,1.0,,
validation,199,15,15,15,1.0,,
validation,200,15,15,15,1.0,,
validation,201,15,15,15,1.0,,
validation,202,15,15,15,1.0,,
validation,203,15,15,15,1.0,,
validation,204,15,15,15,1.0,,
validation,205,15,15,15,1.0,,
validation,206,15,15,15,1.0,,
validation,207,15,15,15,1.0,,
validation,208,15,15,15,1.0,,
validation,209,15,15,14,0.9333333333333333,X34,X27
validation,210,15,15,15,1.0,,
validation,211,15,15,15,1.0,,
validation,212,15,15,14,0.9333333333333333,X37,X31
validation,213,15,15,14,0.9333333333333333,X37,X33
validation,214,15,15,14,0.9333333333333333,X22,X27
validation,215,15,15,15,1.0,,
validation,216,15,15,15,1.0,,
validation,217,15,15,15,1.0,,
validation,218,15,15,15,1.0,,
validation,219,15,15,15,1.0,,
confirmation,220,15,15,15,1.0,,
confirmation,221,15,15,15,1.0,,
confirmation,222,15,15,15,1.0,,
confirmation,223,15,15,15,1.0,,
confirmation,224,15,15,15,1.0,,
confirmation,225,15,15,15,1.0,,
confirmation,226,15,15,15,1.0,,
confirmation,227,15,15,15,1.0,,
confirmation,228,15,15,15,1.0,,
confirmation,229,15,15,14,0.9333333333333333,X22,X29
confirmation,230,15,15,15,1.0,,
confirmation,231,15,15,15,1.0,,
confirmation,232,15,15,15,1.0,,
confirmation,233,15,15,15,1.0,,
confirmation,234,15,15,15,1.0,,
confirmation,235,15,15,14,0.9333333333333333,X29,X8
confirmation,236,15,15,15,1.0,,
confirmation,237,15,15,15,1.0,,
confirmation,238,15,15,15,1.0,,
confirmation,239,15,15,15,1.0,,
confirmation,240,15,15,15,1.0,,
confirmation,241,15,15,15,1.0,,
confirmation,242,15,15,15,1.0,,
confirmation,243,15,15,15,1.0,,
confirmation,244,15,15,14,0.9333333333333333,X8,X22
confirmation,245,15,15,15,1.0,,
confirmation,246,15,15,15,1.0,,
confirmation,247,15,15,14,0.9333333333333333,X25,X35
confirmation,248,15,15,15,1.0,,
confirmation,249,15,15,15,1.0,,
confirmation,250,15,15,15,1.0,,
confirmation,251,15,15,15,1.0,,
confirmation,252,15,15,15,1.0,,
confirmation,253,15,15,15,1.0,,
confirmation,254,15,15,15,1.0,,
confirmation,255,15,15,14,0.9333333333333333,X29,X28
confirmation,256,15,15,14,0.9333333333333333,X29,X40
confirmation,257,15,15,14,0.9333333333333333,X29,X31
confirmation,258,15,15,14,0.9333333333333333,X24,X25
confirmation,259,15,15,15,1.0,,
confirmation,260,15,15,14,0.9333333333333333,X25,X3
confirmation,261,15,15,14,0.9333333333333333,X29,X3
confirmation,262,15,15,15,1.0,,
confirmation,263,15,15,14,0.9333333333333333,X2,X24
confirmation,264,15,15,14,0.9333333333333333,X1,X24
confirmation,265,15,15,14,0.9333333333333333,X8,X25
confirmation,266,15,15,15,1.0,,
