period,indicator_id,eligible_rows,up_rate,mean_local_training_rows,raw_accuracy_A_global,raw_accuracy_B_pure_local,raw_accuracy_C_fixed_shrinkage,raw_accuracy_D_sample_aware_shrinkage,raw_accuracy_E_interaction,selected_A_global,selected_hits_A_global,selected_accuracy_A_global,selected_B_pure_local,selected_hits_B_pure_local,selected_accuracy_B_pure_local,selected_C_fixed_shrinkage,selected_hits_C_fixed_shrinkage,selected_accuracy_C_fixed_shrinkage,selected_D_sample_aware_shrinkage,selected_hits_D_sample_aware_shrinkage,selected_accuracy_D_sample_aware_shrinkage,selected_E_interaction,selected_hits_E_interaction,selected_accuracy_E_interaction
tuning,X1,5,0.6,1.2,0.6,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,
tuning,X2,60,0.5833333333333334,66.5,0.5833333333333334,0.6,0.55,0.5833333333333334,0.5833333333333334,15.0,10.0,0.6666666666666666,32.0,18.0,0.5625,13.0,8.0,0.6153846153846154,16.0,10.0,0.625,18.0,10.0,0.5555555555555556
tuning,X3,60,0.6833333333333333,71.5,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,59.0,40.0,0.6779661016949152,55.0,38.0,0.6909090909090909,59.0,40.0,0.6779661016949152,59.0,40.0,0.6779661016949152,56.0,38.0,0.6785714285714286
tuning,X6,60,0.5333333333333333,71.5,0.5,0.5,0.5166666666666667,0.5166666666666667,0.5333333333333333,6.0,2.0,0.3333333333333333,10.0,5.0,0.5,4.0,1.0,0.25,7.0,3.0,0.42857142857142855,16.0,6.0,0.375
tuning,X7,34,0.4117647058823529,15.529411764705882,0.5,0.5,0.5,0.5,0.38235294117647056,,,,,,,,,,,,,,,
tuning,X9,17,0.6470588235294118,7.0588235294117645,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118,,,,,,,,,,,,,,,
tuning,X11,16,0.6875,6.5625,0.625,0.625,0.625,0.625,0.5625,,,,,,,,,,,,,,,
tuning,X12,50,0.32,23.52,0.5,0.5,0.5,0.5,0.38,,,,,,,,,,,,,,,
tuning,X13,53,0.4339622641509434,25.0188679245283,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4528301886792453,0.4339622641509434,,,,,,,,,,,,,,,
tuning,X16,60,0.36666666666666664,62.5,0.5,0.5166666666666667,0.5166666666666667,0.5,0.45,3.0,2.0,0.6666666666666666,,,,,,,3.0,2.0,0.6666666666666666,,,
