family,feature_set,logistic_c,minimum_local_rows,local_weight,fallback_rate,months,calls,hits,accuracy,monthly_mean,monthly_median,monthly_std,up_calls,down_calls,hits_vs_baseline
pure_local,lean5,0.01,36,1.0,0.07724425887265135,60,900,571,0.6344444444444445,0.6344444444444443,0.6666666666666666,0.28667630168190356,900,0,-8
fixed_shrinkage,lean5,0.01,36,0.1,0.07724425887265135,60,900,574,0.6377777777777778,0.6377777777777778,0.6666666666666666,0.2931398094716062,900,0,-5
fixed_shrinkage,lean5,0.01,36,0.2,0.07724425887265135,60,900,571,0.6344444444444445,0.6344444444444445,0.6666666666666666,0.29342876379536026,900,0,-8
fixed_shrinkage,lean5,0.01,36,0.3,0.07724425887265135,60,900,570,0.6333333333333333,0.6333333333333333,0.6666666666666666,0.2939438946171092,900,0,-9
fixed_shrinkage,lean5,0.01,36,0.4,0.07724425887265135,60,900,568,0.6311111111111111,0.6311111111111111,0.6666666666666666,0.2926511499088986,900,0,-11
fixed_shrinkage,lean5,0.01,36,0.5,0.07724425887265135,60,900,572,0.6355555555555555,0.6355555555555555,0.7,0.2923936326414969,900,0,-7
pure_local,lean5,0.01,48,1.0,0.13319415448851774,60,900,570,0.6333333333333333,0.6333333333333332,0.6666666666666666,0.28056977271877515,900,0,-9
fixed_shrinkage,lean5,0.01,48,0.1,0.13319415448851774,60,900,573,0.6366666666666667,0.6366666666666667,0.6666666666666666,0.2923828978332797,900,0,-6
fixed_shrinkage,lean5,0.01,48,0.2,0.13319415448851774,60,900,569,0.6322222222222222,0.6322222222222222,0.6666666666666666,0.2916261742136729,900,0,-10
fixed_shrinkage,lean5,0.01,48,0.3,0.13319415448851774,60,900,568,0.6311111111111111,0.6311111111111113,0.6666666666666666,0.29213588837316906,900,0,-11
fixed_shrinkage,lean5,0.01,48,0.4,0.13319415448851774,60,900,564,0.6266666666666667,0.6266666666666667,0.6666666666666666,0.2899964283175078,900,0,-15
fixed_shrinkage,lean5,0.01,48,0.5,0.13319415448851774,60,900,568,0.6311111111111111,0.6311111111111111,0.6666666666666666,0.2890250294889024,900,0,-11
pure_local,lean5,0.01,60,1.0,0.20542797494780793,60,900,573,0.6366666666666667,0.6366666666666666,0.7,0.2842838824139994,900,0,-6
