origin_position,window,cap,universe_breadth,broad_down_month,production,longrun_drift_oracle,window_drift_oracle,breadth_timing_oracle,longrun_plus_breadth_timing,perfect_up_selection
120,tuning,20,0.7714285714285715,False,18,16,16,18,16,20
121,tuning,18,0.8285714285714286,False,17,17,18,17,17,18
122,tuning,18,0.7142857142857143,False,14,14,14,14,14,18
123,tuning,18,0.11428571428571428,True,2,1,0,16,17,4
124,tuning,20,0.34285714285714286,True,6,6,5,14,14,12
125,tuning,19,0.8857142857142857,False,19,19,19,19,19,19
126,tuning,18,0.37142857142857144,True,8,6,5,10,12,13
127,tuning,18,0.9714285714285714,False,18,18,18,18,18,18
128,tuning,15,0.8857142857142857,False,14,14,15,14,14,15
129,tuning,20,0.2857142857142857,True,5,3,4,15,17,10
130,tuning,20,0.8285714285714286,False,15,15,16,15,15,20
131,tuning,19,0.5428571428571428,False,11,12,15,11,12,19
132,tuning,20,0.8857142857142857,False,18,17,19,18,17,20
133,tuning,19,0.6,False,15,10,10,15,10,19
134,tuning,19,0.9428571428571428,False,19,19,18,19,19,19
135,tuning,19,0.34285714285714286,True,9,9,8,10,10,12
136,tuning,20,0.22857142857142856,True,4,3,3,16,17,8
137,tuning,16,0.5555555555555556,False,12,8,7,12,8,16
138,tuning,17,0.2777777777777778,True,7,4,3,10,13,10
139,tuning,18,0.05555555555555555,True,1,1,0,17,17,2
140,tuning,20,0.8888888888888888,False,18,19,20,18,19,20
141,tuning,19,0.3888888888888889,True,11,7,7,8,12,14
142,tuning,19,0.5833333333333334,False,13,16,15,13,16,19
143,tuning,19,0.8611111111111112,False,16,17,17,16,17,19
144,tuning,16,0.75,False,11,11,13,11,11,16
145,tuning,16,0.5,False,7,11,11,7,11,16
146,tuning,18,0.4444444444444444,True,9,11,9,9,7,16
147,tuning,18,0.16666666666666666,True,3,3,2,15,15,6
148,tuning,18,0.8333333333333334,False,14,16,17,14,16,18
149,tuning,18,0.8055555555555556,False,16,15,16,16,15,18
150,tuning,15,0.6666666666666666,False,9,10,11,9,10,15
151,tuning,19,0.8918918918918919,False,18,17,18,18,17,19
152,tuning,18,0.35135135135135137,True,7,8,10,11,10,13
153,tuning,19,0.7297297297297297,False,12,16,14,12,16,19
