window_months,k,mode,tuning_hits,tuning_calls,tuning_accuracy,validation_hits,validation_calls,validation_accuracy,confirmation_hits,confirmation_calls,confirmation_accuracy
n/a,15-20,production_regime_adaptive,686,1071,0.6405228758169934,395,675,0.5851851851851851,508,799,0.6357947434292867
24,15,up_only,563,900,0.6255555555555555,327,600,0.545,435,705,0.6170212765957447
36,15,up_only,566,900,0.6288888888888889,340,600,0.5666666666666667,432,705,0.6127659574468085
48,15,up_only,570,900,0.6333333333333333,346,600,0.5766666666666667,435,705,0.6170212765957447
60,15,up_only,568,900,0.6311111111111111,362,600,0.6033333333333334,429,705,0.6085106382978723
96,15,up_only,559,900,0.6211111111111111,351,600,0.585,440,705,0.624113475177305
all,15,up_only,558,900,0.62,340,600,0.5666666666666667,438,705,0.6212765957446809
36,20,up_only,744,1200,0.62,445,800,0.55625,574,940,0.6106382978723405
48,20,up_only,747,1200,0.6225,456,800,0.57,580,940,0.6170212765957447
all,20,up_only,727,1200,0.6058333333333333,441,800,0.55125,574,940,0.6106382978723405
36,15,majority,568,900,0.6311111111111111,305,600,0.5083333333333333,428,705,0.6070921985815603
48,15,majority,569,900,0.6322222222222222,327,600,0.545,429,705,0.6085106382978723
all,15,majority,560,900,0.6222222222222222,340,600,0.5666666666666667,435,705,0.6170212765957447
