origin_position,origin_date,calls,hits,top15_calls,down_calls
120,2010-01-29,20,18,15,0
121,2010-02-26,18,17,15,0
122,2010-03-31,18,14,15,0
123,2010-04-30,18,2,15,0
124,2010-05-31,20,6,15,0
125,2010-06-30,19,19,15,0
126,2010-07-30,18,8,15,0
127,2010-08-31,18,18,15,0
128,2010-09-30,15,14,15,0
129,2010-10-29,20,5,15,0
130,2010-11-30,20,15,15,0
131,2010-12-31,19,11,15,0
132,2011-01-31,20,18,15,0
133,2011-02-28,19,15,15,0
134,2011-03-31,19,19,15,0
135,2011-04-29,19,9,15,0
136,2011-05-31,20,4,15,0
137,2011-06-30,16,12,15,0
138,2011-07-29,17,7,15,0
139,2011-08-31,18,1,15,0
140,2011-09-30,20,18,15,0
141,2011-10-31,19,11,15,4
142,2011-11-30,19,13,15,0
143,2011-12-30,19,16,15,0
144,2012-01-31,16,11,15,0
145,2012-02-29,16,7,15,0
146,2012-03-30,18,9,15,0
147,2012-04-30,18,3,15,0
148,2012-05-31,18,14,15,0
149,2012-06-29,18,16,15,0
150,2012-07-31,15,9,15,0
151,2012-08-31,19,18,15,0
152,2012-09-28,18,7,15,0
153,2012-10-31,19,12,15,0
154,2012-11-30,19,10,15,0
155,2012-12-31,20,16,15,0
156,2013-01-31,20,13,15,0
157,2013-02-28,18,16,15,0
158,2013-03-29,15,13,15,0
159,2013-04-30,18,9,15,0
160,2013-05-31,16,3,15,0
161,2013-06-28,15,15,15,0
162,2013-07-31,15,0,15,0
163,2013-08-30,15,15,15,0
164,2013-09-30,16,15,15,0
165,2013-10-31,15,10,15,0
166,2013-11-29,15,12,15,0
167,2013-12-31,15,6,15,0
168,2014-01-31,15,15,15,0
169,2014-02-28,19,12,15,0
170,2014-03-31,19,14,15,0
171,2014-04-30,17,16,15,0
172,2014-05-30,20,17,15,0
173,2014-06-30,18,2,15,0
174,2014-07-31,17,16,15,0
175,2014-08-29,19,3,15,0
176,2014-09-30,18,14,15,0
177,2014-10-31,17,14,15,0
178,2014-11-28,17,6,15,0
179,2014-12-31,20,8,15,0
180,2015-01-30,19,15,15,0
181,2015-02-27,16,6,15,0
182,2015-03-31,15,6,15,0
183,2015-04-30,17,12,15,0
184,2015-05-29,15,1,15,0
185,2015-06-30,17,13,15,0
186,2015-07-31,16,0,15,0
187,2015-08-31,15,4,15,0
188,2015-09-30,15,15,15,0
189,2015-10-30,15,7,15,0
190,2015-11-30,15,4,15,0
191,2015-12-31,15,3,15,0
192,2016-01-29,17,10,15,0
193,2016-02-29,15,15,15,0
194,2016-03-31,15,10,15,0
195,2016-04-29,17,12,15,0
196,2016-05-31,19,12,15,0
197,2016-06-30,15,13,15,0
198,2016-07-29,19,9,15,0
199,2016-08-31,19,5,15,0
200,2016-09-30,16,4,15,0
201,2016-10-31,18,10,15,0
202,2016-11-30,18,13,15,0
203,2016-12-30,18,16,15,0
204,2017-01-31,20,19,15,0
205,2017-02-28,20,6,15,0
206,2017-03-31,20,17,15,0
207,2017-04-28,16,14,15,0
208,2017-05-31,17,9,15,0
209,2017-06-30,17,16,15,0
210,2017-07-31,16,9,15,0
211,2017-08-31,20,14,15,0
212,2017-09-29,17,15,15,0
213,2017-10-31,15,11,15,0
214,2017-11-30,18,14,15,0
215,2017-12-29,16,14,15,0
216,2018-01-31,17,0,15,0
217,2018-02-28,15,2,15,0
218,2018-03-30,16,8,15,0
219,2018-04-30,19,12,15,0
220,2018-05-31,20,7,15,0
221,2018-06-29,20,18,15,0
222,2018-07-31,16,13,15,0
223,2018-08-31,15,10,15,0
224,2018-09-28,15,2,15,0
225,2018-10-31,16,12,15,0
226,2018-11-30,15,6,15,4
227,2018-12-31,16,16,15,0
228,2019-01-31,15,13,15,1
229,2019-02-28,15,13,15,0
230,2019-03-29,17,15,15,0
231,2019-04-30,16,0,15,0
232,2019-05-31,15,15,15,0
233,2019-06-28,18,14,15,0
234,2019-07-31,18,6,15,0
235,2019-08-30,18,15,15,0
236,2019-09-30,19,16,15,0
237,2019-10-31,19,16,15,0
238,2019-11-29,20,18,15,0
239,2019-12-31,17,10,15,0
240,2020-01-31,19,2,15,0
241,2020-02-28,16,0,15,0
242,2020-03-31,18,18,15,0
243,2020-04-30,16,14,15,1
244,2020-05-29,16,11,15,0
245,2020-06-30,16,14,15,0
246,2020-07-31,20,18,15,0
247,2020-08-31,16,2,15,0
248,2020-09-30,18,3,15,0
249,2020-10-30,15,15,15,0
250,2020-11-30,15,15,15,0
251,2020-12-31,18,8,15,0
252,2021-01-29,17,11,15,0
253,2021-02-26,18,13,15,0
254,2021-03-31,17,17,15,0
255,2021-04-30,15,13,15,0
256,2021-05-31,18,11,15,0
257,2021-06-30,19,15,15,0
258,2021-07-30,17,14,15,0
259,2021-08-31,20,1,15,0
260,2021-09-30,19,18,15,0
261,2021-10-29,17,6,15,1
262,2021-11-30,16,15,15,0
263,2021-12-31,15,2,15,0
264,2022-01-31,15,1,15,0
265,2022-02-28,17,14,15,0
266,2022-03-31,16,2,15,0
