model,evaluation_rows,accuracy,selected_rows,selected_accuracy,coverage,up_calls,down_calls
ar1,4145,0.5232810615199035,0,,0.0,2339,1806
ar2,4145,0.497708082026538,0,,0.0,2359,1786
majority,4145,0.5565741857659832,0,,0.0,4145,0
mean_reversion,4145,0.46079613992762364,0,,0.0,1534,2611
momentum_12,4145,0.5507840772014475,0,,0.0,2761,1384
momentum_3,4145,0.5201447527141134,0,,0.0,2548,1597
momentum_6,4145,0.5387213510253317,0,,0.0,2637,1508
momentum_9,4145,0.5404101326899879,0,,0.0,2696,1449
persistence,4145,0.5208685162846803,0,,0.0,2297,1848
reversal,4145,0.47937273823884197,0,,0.0,1855,2290
