window,regime,months,calls,hits,accuracy,down_calls,down_hits,down_precision,normal_down_recall,sudden_drop_events,sudden_down_calls,sudden_down_precision,sudden_drop_recall,replacement_calls,abstained_down_candidates,policy,down_threshold,down_margin,maximum_replacements
120_179,all,60,1071,686,0.6405228758169934,0,0,,0.0,39,0,,0.0,0,79,conservative,0.65,0.1,0
120_179,calm,7,126,72,0.5714285714285714,0,0,,0.0,1,0,,0.0,0,1,conservative,0.65,0.1,0
120_179,mixed,40,714,487,0.6820728291316527,0,0,,0.0,18,0,,0.0,0,23,conservative,0.65,0.1,0
120_179,stressed,13,231,127,0.5497835497835498,0,0,,0.0,20,0,,0.0,0,55,conservative,0.65,0.1,0
180_219,all,40,675,395,0.5851851851851851,0,0,,0.0,34,0,,0.0,0,122,conservative,0.65,0.1,0
180_219,calm,7,127,62,0.4881889763779528,0,0,,0.0,5,0,,0.0,0,16,conservative,0.65,0.1,0
180_219,mixed,21,349,209,0.5988538681948424,0,0,,0.0,13,0,,0.0,0,27,conservative,0.65,0.1,0
180_219,stressed,12,199,124,0.6231155778894473,0,0,,0.0,16,0,,0.0,0,79,conservative,0.65,0.1,0
220_266,all,47,799,507,0.6345431789737171,2,2,1.0,0.002127659574468085,140,1,1.0,0.007142857142857143,0,77,conservative,0.65,0.1,0
220_266,calm,13,229,128,0.5589519650655022,0,0,,0.0,39,0,,0.0,0,1,conservative,0.65,0.1,0
220_266,mixed,24,403,273,0.6774193548387096,0,0,,0.0,69,0,,0.0,0,6,conservative,0.65,0.1,0
220_266,stressed,10,167,106,0.6347305389221557,2,2,1.0,0.0091324200913242,32,1,1.0,0.03125,0,70,conservative,0.65,0.1,0
120_179,all,60,1071,690,0.6442577030812325,20,13,0.65,0.012633624878522837,39,0,,0.0,20,59,conservative,0.65,0.1,1
120_179,calm,7,126,72,0.5714285714285714,0,0,,0.0,1,0,,0.0,0,1,conservative,0.65,0.1,1
120_179,mixed,40,714,489,0.6848739495798319,10,6,0.6,0.009708737864077669,18,0,,0.0,10,13,conservative,0.65,0.1,1
120_179,stressed,13,231,129,0.5584415584415584,10,7,0.7,0.02564102564102564,20,0,,0.0,10,45,conservative,0.65,0.1,1
180_219,all,40,675,393,0.5822222222222222,31,14,0.45161290322580644,0.0173053152039555,34,0,,0.0,31,91,conservative,0.65,0.1,1
180_219,calm,7,127,66,0.5196850393700787,6,5,0.8333333333333334,0.030864197530864196,5,0,,0.0,6,10,conservative,0.65,0.1,1
180_219,mixed,21,349,205,0.5873925501432665,14,5,0.35714285714285715,0.012285012285012284,13,0,,0.0,14,13,conservative,0.65,0.1,1
180_219,stressed,12,199,122,0.6130653266331658,11,4,0.36363636363636365,0.016666666666666666,16,0,,0.0,11,68,conservative,0.65,0.1,1
220_266,all,47,799,503,0.6295369211514393,14,6,0.42857142857142855,0.006382978723404255,140,0,,0.0,13,66,conservative,0.65,0.1,1
220_266,calm,13,229,127,0.5545851528384279,1,0,0.0,0.0,39,0,,0.0,1,0,conservative,0.65,0.1,1
220_266,mixed,24,403,272,0.674937965260546,2,0,0.0,0.0,69,0,,0.0,2,4,conservative,0.65,0.1,1
220_266,stressed,10,167,104,0.6227544910179641,11,6,0.5454545454545454,0.0273972602739726,32,0,,0.0,10,62,conservative,0.65,0.1,1
120_179,all,60,1071,692,0.646125116713352,26,18,0.6923076923076923,0.01749271137026239,39,0,,0.0,26,53,conservative,0.65,0.1,2
120_179,calm,7,126,72,0.5714285714285714,0,0,,0.0,1,0,,0.0,0,1,conservative,0.65,0.1,2
120_179,mixed,40,714,489,0.6848739495798319,10,6,0.6,0.009708737864077669,18,0,,0.0,10,13,conservative,0.65,0.1,2
120_179,stressed,13,231,131,0.5670995670995671,16,12,0.75,0.04395604395604396,20,0,,0.0,16,39,conservative,0.65,0.1,2
180_219,all,40,675,393,0.5822222222222222,51,24,0.47058823529411764,0.029666254635352288,34,0,,0.0,51,71,conservative,0.65,0.1,2
180_219,calm,7,127,67,0.5275590551181102,9,7,0.7777777777777778,0.043209876543209874,5,0,,0.0,9,7,conservative,0.65,0.1,2
180_219,mixed,21,349,204,0.5845272206303725,21,8,0.38095238095238093,0.019656019656019656,13,0,,0.0,21,6,conservative,0.65,0.1,2
180_219,stressed,12,199,122,0.6130653266331658,21,9,0.42857142857142855,0.0375,16,0,,0.0,21,58,conservative,0.65,0.1,2
220_266,all,47,799,502,0.6282853566958698,21,10,0.47619047619047616,0.010638297872340425,140,1,1.0,0.007142857142857143,20,59,conservative,0.65,0.1,2
220_266,calm,13,229,127,0.5545851528384279,1,0,0.0,0.0,39,0,,0.0,1,0,conservative,0.65,0.1,2
220_266,mixed,24,403,272,0.674937965260546,2,0,0.0,0.0,69,0,,0.0,2,4,conservative,0.65,0.1,2
220_266,stressed,10,167,103,0.6167664670658682,18,10,0.5555555555555556,0.045662100456621,32,1,1.0,0.03125,17,55,conservative,0.65,0.1,2
120_179,all,60,1071,695,0.6489262371615313,31,23,0.7419354838709677,0.022351797862001945,39,0,,0.0,31,48,conservative,0.65,0.1,3
120_179,calm,7,126,72,0.5714285714285714,0,0,,0.0,1,0,,0.0,0,1,conservative,0.65,0.1,3
120_179,mixed,40,714,489,0.6848739495798319,10,6,0.6,0.009708737864077669,18,0,,0.0,10,13,conservative,0.65,0.1,3
120_179,stressed,13,231,134,0.5800865800865801,21,17,0.8095238095238095,0.06227106227106227,20,0,,0.0,21,34,conservative,0.65,0.1,3
180_219,all,40,675,392,0.5807407407407408,63,30,0.47619047619047616,0.037082818294190356,34,0,,0.0,63,59,conservative,0.65,0.1,3
180_219,calm,7,127,66,0.5196850393700787,10,7,0.7,0.043209876543209874,5,0,,0.0,10,6,conservative,0.65,0.1,3
180_219,mixed,21,349,206,0.5902578796561605,23,10,0.43478260869565216,0.02457002457002457,13,0,,0.0,23,4,conservative,0.65,0.1,3
180_219,stressed,12,199,120,0.6030150753768844,30,13,0.43333333333333335,0.05416666666666667,16,0,,0.0,30,49,conservative,0.65,0.1,3
220_266,all,47,799,503,0.6295369211514393,27,14,0.5185185185185185,0.014893617021276596,140,2,1.0,0.014285714285714285,26,53,conservative,0.65,0.1,3
220_266,calm,13,229,127,0.5545851528384279,1,0,0.0,0.0,39,0,,0.0,1,0,conservative,0.65,0.1,3
220_266,mixed,24,403,272,0.674937965260546,2,0,0.0,0.0,69,0,,0.0,2,4,conservative,0.65,0.1,3
220_266,stressed,10,167,104,0.6227544910179641,24,14,0.5833333333333334,0.0639269406392694,32,2,1.0,0.0625,23,49,conservative,0.65,0.1,3
120_179,all,60,1071,686,0.6405228758169934,4,2,0.5,0.001943634596695821,39,0,,0.0,0,88,balanced,0.65,0.0,0
120_179,calm,7,126,72,0.5714285714285714,0,0,,0.0,1,0,,0.0,0,1,balanced,0.65,0.0,0
120_179,mixed,40,714,487,0.6820728291316527,0,0,,0.0,18,0,,0.0,0,29,balanced,0.65,0.0,0
120_179,stressed,13,231,127,0.5497835497835498,4,2,0.5,0.007326007326007326,20,0,,0.0,0,58,balanced,0.65,0.0,0
180_219,all,40,675,395,0.5851851851851851,0,0,,0.0,34,0,,0.0,0,122,balanced,0.65,0.0,0
180_219,calm,7,127,62,0.4881889763779528,0,0,,0.0,5,0,,0.0,0,16,balanced,0.65,0.0,0
180_219,mixed,21,349,209,0.5988538681948424,0,0,,0.0,13,0,,0.0,0,27,balanced,0.65,0.0,0
180_219,stressed,12,199,124,0.6231155778894473,0,0,,0.0,16,0,,0.0,0,79,balanced,0.65,0.0,0
220_266,all,47,799,508,0.6357947434292867,7,5,0.7142857142857143,0.005319148936170213,140,3,1.0,0.02142857142857143,0,78,balanced,0.65,0.0,0
220_266,calm,13,229,128,0.5589519650655022,0,0,,0.0,39,0,,0.0,0,1,balanced,0.65,0.0,0
220_266,mixed,24,403,273,0.6774193548387096,0,0,,0.0,69,0,,0.0,0,6,balanced,0.65,0.0,0
220_266,stressed,10,167,107,0.6407185628742516,7,5,0.7142857142857143,0.0228310502283105,32,3,1.0,0.09375,0,71,balanced,0.65,0.0,0
120_179,all,60,1071,689,0.6433239962651728,25,15,0.6,0.014577259475218658,39,0,,0.0,21,70,balanced,0.65,0.0,1
120_179,calm,7,126,72,0.5714285714285714,0,0,,0.0,1,0,,0.0,0,1,balanced,0.65,0.0,1
120_179,mixed,40,714,488,0.6834733893557423,11,6,0.5454545454545454,0.009708737864077669,18,0,,0.0,11,18,balanced,0.65,0.0,1
120_179,stressed,13,231,129,0.5584415584415584,14,9,0.6428571428571429,0.03296703296703297,20,0,,0.0,10,51,balanced,0.65,0.0,1
180_219,all,40,675,393,0.5822222222222222,31,14,0.45161290322580644,0.0173053152039555,34,0,,0.0,31,91,balanced,0.65,0.0,1
180_219,calm,7,127,66,0.5196850393700787,6,5,0.8333333333333334,0.030864197530864196,5,0,,0.0,6,10,balanced,0.65,0.0,1
180_219,mixed,21,349,205,0.5873925501432665,14,5,0.35714285714285715,0.012285012285012284,13,0,,0.0,14,13,balanced,0.65,0.0,1
180_219,stressed,12,199,122,0.6130653266331658,11,4,0.36363636363636365,0.016666666666666666,16,0,,0.0,11,68,balanced,0.65,0.0,1
220_266,all,47,799,504,0.6307884856070087,19,9,0.47368421052631576,0.009574468085106383,140,2,1.0,0.014285714285714285,13,68,balanced,0.65,0.0,1
220_266,calm,13,229,127,0.5545851528384279,1,0,0.0,0.0,39,0,,0.0,1,0,balanced,0.65,0.0,1
220_266,mixed,24,403,272,0.674937965260546,2,0,0.0,0.0,69,0,,0.0,2,4,balanced,0.65,0.0,1
220_266,stressed,10,167,105,0.6287425149700598,16,9,0.5625,0.0410958904109589,32,2,1.0,0.0625,10,64,balanced,0.65,0.0,1
120_179,all,60,1071,689,0.6433239962651728,34,21,0.6176470588235294,0.02040816326530612,39,0,,0.0,30,61,balanced,0.65,0.0,2
120_179,calm,7,126,72,0.5714285714285714,0,0,,0.0,1,0,,0.0,0,1,balanced,0.65,0.0,2
120_179,mixed,40,714,486,0.680672268907563,14,7,0.5,0.011326860841423949,18,0,,0.0,14,15,balanced,0.65,0.0,2
120_179,stressed,13,231,131,0.5670995670995671,20,14,0.7,0.05128205128205128,20,0,,0.0,16,45,balanced,0.65,0.0,2
180_219,all,40,675,393,0.5822222222222222,51,24,0.47058823529411764,0.029666254635352288,34,0,,0.0,51,71,balanced,0.65,0.0,2
180_219,calm,7,127,67,0.5275590551181102,9,7,0.7777777777777778,0.043209876543209874,5,0,,0.0,9,7,balanced,0.65,0.0,2
180_219,mixed,21,349,204,0.5845272206303725,21,8,0.38095238095238093,0.019656019656019656,13,0,,0.0,21,6,balanced,0.65,0.0,2
180_219,stressed,12,199,122,0.6130653266331658,21,9,0.42857142857142855,0.0375,16,0,,0.0,21,58,balanced,0.65,0.0,2
220_266,all,47,799,504,0.6307884856070087,25,13,0.52,0.013829787234042552,140,3,1.0,0.02142857142857143,20,62,balanced,0.65,0.0,2
220_266,calm,13,229,127,0.5545851528384279,1,0,0.0,0.0,39,0,,0.0,1,0,balanced,0.65,0.0,2
220_266,mixed,24,403,272,0.674937965260546,2,0,0.0,0.0,69,0,,0.0,2,4,balanced,0.65,0.0,2
220_266,stressed,10,167,105,0.6287425149700598,22,13,0.5909090909090909,0.0593607305936073,32,3,1.0,0.09375,17,58,balanced,0.65,0.0,2
120_179,all,60,1071,691,0.6451914098972923,40,26,0.65,0.025267249757045675,39,0,,0.0,36,55,balanced,0.65,0.0,3
120_179,calm,7,126,72,0.5714285714285714,0,0,,0.0,1,0,,0.0,0,1,balanced,0.65,0.0,3
120_179,mixed,40,714,485,0.6792717086834734,15,7,0.4666666666666667,0.011326860841423949,18,0,,0.0,15,14,balanced,0.65,0.0,3
120_179,stressed,13,231,134,0.5800865800865801,25,19,0.76,0.0695970695970696,20,0,,0.0,21,40,balanced,0.65,0.0,3
180_219,all,40,675,392,0.5807407407407408,63,30,0.47619047619047616,0.037082818294190356,34,0,,0.0,63,59,balanced,0.65,0.0,3
180_219,calm,7,127,66,0.5196850393700787,10,7,0.7,0.043209876543209874,5,0,,0.0,10,6,balanced,0.65,0.0,3
180_219,mixed,21,349,206,0.5902578796561605,23,10,0.43478260869565216,0.02457002457002457,13,0,,0.0,23,4,balanced,0.65,0.0,3
180_219,stressed,12,199,120,0.6030150753768844,30,13,0.43333333333333335,0.05416666666666667,16,0,,0.0,30,49,balanced,0.65,0.0,3
220_266,all,47,799,505,0.6320400500625782,31,17,0.5483870967741935,0.018085106382978722,140,4,1.0,0.02857142857142857,26,56,balanced,0.65,0.0,3
220_266,calm,13,229,127,0.5545851528384279,1,0,0.0,0.0,39,0,,0.0,1,0,balanced,0.65,0.0,3
220_266,mixed,24,403,272,0.674937965260546,2,0,0.0,0.0,69,0,,0.0,2,4,balanced,0.65,0.0,3
