group_weight,cap,development_calls,development_hits,development_accuracy,worst_internal_accuracy,all_internal_windows_meet_target,internal_1_start,internal_1_end,internal_1_calls,internal_1_hits,internal_1_accuracy,internal_2_start,internal_2_end,internal_2_calls,internal_2_hits,internal_2_accuracy,internal_3_start,internal_3_end,internal_3_calls,internal_3_hits,internal_3_accuracy,selected
0.25,15,1500,946,0.6306666666666667,0.5966666666666667,False,120,149,450,288,0.64,150,179,450,300,0.6666666666666666,180,219,600,358,0.5966666666666667,True
0.3,15,1500,942,0.628,0.5933333333333334,False,120,149,450,289,0.6422222222222222,150,179,450,297,0.66,180,219,600,356,0.5933333333333334,False
0.2,15,1500,941,0.6273333333333333,0.5933333333333334,False,120,149,450,286,0.6355555555555555,150,179,450,299,0.6644444444444444,180,219,600,356,0.5933333333333334,False
0.35,15,1500,938,0.6253333333333333,0.5933333333333334,False,120,149,450,288,0.64,150,179,450,294,0.6533333333333333,180,219,600,356,0.5933333333333334,False
0.15,15,1500,938,0.6253333333333333,0.5866666666666667,False,120,149,450,286,0.6355555555555555,150,179,450,300,0.6666666666666666,180,219,600,352,0.5866666666666667,False
0.4,15,1500,936,0.624,0.5916666666666667,False,120,149,450,288,0.64,150,179,450,293,0.6511111111111111,180,219,600,355,0.5916666666666667,False
0.45,15,1500,932,0.6213333333333333,0.5866666666666667,False,120,149,450,289,0.6422222222222222,150,179,450,291,0.6466666666666666,180,219,600,352,0.5866666666666667,False
0.75,15,1500,929,0.6193333333333333,0.5883333333333334,False,120,149,450,286,0.6355555555555555,150,179,450,290,0.6444444444444445,180,219,600,353,0.5883333333333334,False
0.1,15,1500,928,0.6186666666666667,0.585,False,120,149,450,283,0.6288888888888889,150,179,450,294,0.6533333333333333,180,219,600,351,0.585,False
0.55,15,1500,928,0.6186666666666667,0.585,False,120,149,450,288,0.64,150,179,450,289,0.6422222222222222,180,219,600,351,0.585,False
0.6,15,1500,927,0.618,0.5883333333333334,False,120,149,450,287,0.6377777777777778,150,179,450,287,0.6377777777777778,180,219,600,353,0.5883333333333334,False
0.65,15,1500,926,0.6173333333333333,0.5883333333333334,False,120,149,450,286,0.6355555555555555,150,179,450,287,0.6377777777777778,180,219,600,353,0.5883333333333334,False
0.7,15,1500,926,0.6173333333333333,0.5883333333333334,False,120,149,450,285,0.6333333333333333,150,179,450,288,0.64,180,219,600,353,0.5883333333333334,False
0.5,15,1500,926,0.6173333333333333,0.585,False,120,149,450,288,0.64,150,179,450,287,0.6377777777777778,180,219,600,351,0.585,False
0.8,15,1500,926,0.6173333333333333,0.585,False,120,149,450,285,0.6333333333333333,150,179,450,290,0.6444444444444445,180,219,600,351,0.585,False
0.85,15,1500,925,0.6166666666666667,0.585,False,120,149,450,284,0.6311111111111111,150,179,450,290,0.6444444444444445,180,219,600,351,0.585,False
0.95,15,1500,925,0.6166666666666667,0.585,False,120,149,450,284,0.6311111111111111,150,179,450,290,0.6444444444444445,180,219,600,351,0.585,False
0.05,15,1500,924,0.616,0.5883333333333334,False,120,149,450,282,0.6266666666666667,150,179,450,289,0.6422222222222222,180,219,600,353,0.5883333333333334,False
0.9,15,1500,924,0.616,0.585,False,120,149,450,284,0.6311111111111111,150,179,450,289,0.6422222222222222,180,219,600,351,0.585,False
0.0,15,1500,923,0.6153333333333333,0.5833333333333334,False,120,149,450,287,0.6377777777777778,150,179,450,286,0.6355555555555555,180,219,600,350,0.5833333333333334,False
1.0,15,1500,922,0.6146666666666667,0.585,False,120,149,450,283,0.6288888888888889,150,179,450,288,0.64,180,219,600,351,0.585,False
