origin_position,cap,production_hits,H1_overlay_calls,H1_overlay_hits,H1_overlay_overlap,H1_raw_overlay_calls,H1_raw_overlay_hits,H1_raw_overlay_overlap,H1_prior_calls,H1_prior_hits,H1_prior_overlap,prior_only_calls,prior_only_hits,prior_only_overlap,eb_base_calls,eb_base_hits,eb_base_overlap,window_ensemble_calls,window_ensemble_hits,window_ensemble_overlap,H1_prior_fixed15_calls,H1_prior_fixed15_hits,prior_only_fixed15_calls,prior_only_fixed15_hits
120,20,18,20,16,18,20,16,14,20,16,18,20,17,18,20,16,12,20,17,19,15,13,15,13
121,18,17,18,17,17,18,15,13,18,15,16,18,15,16,18,15,16,18,14,15,15,14,15,13
122,18,14,18,12,16,18,12,13,18,15,16,18,15,16,18,15,9,18,14,15,15,12,15,12
123,18,2,18,2,17,18,1,15,18,2,17,18,2,17,18,2,17,18,2,17,15,1,15,1
124,20,6,20,7,19,20,8,16,20,8,18,20,9,17,20,9,17,20,8,18,15,6,15,6
125,19,19,19,19,19,19,17,14,19,17,16,19,18,16,19,18,16,19,18,17,15,14,15,14
126,18,8,18,8,17,18,8,14,18,9,16,18,9,16,18,9,16,18,8,15,15,8,15,8
127,18,18,18,18,17,18,18,13,18,18,16,18,18,16,18,18,16,18,18,16,15,15,15,15
128,15,14,15,14,15,15,14,10,15,14,14,15,14,12,15,14,12,15,14,13,15,14,15,14
129,20,5,20,4,19,20,5,15,20,5,19,20,5,19,20,5,19,20,4,18,15,2,15,3
130,20,15,20,15,19,20,15,15,20,15,18,20,15,18,20,15,18,20,15,18,15,10,15,10
131,19,11,19,11,19,19,10,14,19,11,18,19,10,17,19,10,17,19,11,17,15,8,15,8
132,20,18,20,18,19,20,18,17,20,17,18,20,18,18,20,18,18,20,17,16,15,14,15,14
133,19,15,19,15,19,19,14,12,19,13,17,19,13,17,19,13,17,19,12,16,15,10,15,10
134,19,19,19,19,18,19,19,16,19,19,17,19,19,17,19,19,17,19,19,17,15,15,15,15
135,19,9,19,9,18,19,7,14,19,8,17,19,8,17,19,8,17,19,8,17,15,7,15,7
