rank,hits,calls,accuracy
1,97,147,0.6598639455782312
2,101,147,0.6870748299319728
3,94,147,0.6394557823129252
4,89,147,0.6054421768707483
5,94,147,0.6394557823129252
6,92,147,0.6258503401360545
7,85,147,0.5782312925170068
8,91,147,0.6190476190476191
9,93,147,0.6326530612244898
10,94,147,0.6394557823129252
11,89,147,0.6054421768707483
12,80,147,0.54421768707483
13,96,147,0.6530612244897959
14,94,147,0.6394557823129252
15,90,147,0.6122448979591837
16,68,114,0.5964912280701754
17,56,91,0.6153846153846154
18,44,71,0.6197183098591549
19,26,44,0.5909090909090909
20,16,20,0.8
