risk_penalty,down_risk_bonus,context_role_bonus,minimum_down_calls_met,months,calls,hits,accuracy,up_calls,down_calls,down_hits,down_accuracy,changed_calls
0.0,0.0,0.0,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,19
0.0,0.0,0.05,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.0,0.075,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.0,0.1,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,23
0.0,0.025,0.0,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,19
0.0,0.025,0.05,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.025,0.075,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.025,0.1,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,23
0.0,0.05,0.0,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,19
0.0,0.05,0.05,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.05,0.075,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.05,0.1,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,23
0.0,0.075,0.0,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,19
0.0,0.075,0.05,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.075,0.075,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.075,0.1,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,23
0.0,0.1,0.0,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,19
0.0,0.1,0.05,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.1,0.075,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,22
0.0,0.1,0.1,True,60,900,578,0.6422222222222222,886,14,10,0.7142857142857143,23
0.0,0.0,0.025,True,60,900,577,0.6411111111111111,886,14,10,0.7142857142857143,21
0.0,0.025,0.025,True,60,900,577,0.6411111111111111,886,14,10,0.7142857142857143,21
0.0,0.05,0.025,True,60,900,577,0.6411111111111111,886,14,10,0.7142857142857143,21
0.0,0.075,0.025,True,60,900,577,0.6411111111111111,886,14,10,0.7142857142857143,21
